image_id,record_index,casia_identity,class_index,image_path,quality_condition,source_image_id,blur_parameter
289_low,290,2,1,data\corrupted\blur_15x15_s5\images\2\290.png,low,289,15x15_s5
281,282,2,1,data\splits\pilot_100id\images\2\282.png,high,281,original
281_low,282,2,1,data\corrupted\blur_15x15_s5\images\2\282.png,low,281,15x15_s5
304,305,2,1,data\splits\pilot_100id\images\2\305.png,high,304,original
304_low,305,2,1,data\corrupted\blur_15x15_s5\images\2\305.png,low,304,15x15_s5
315,316,2,1,data\splits\pilot_100id\images\2\316.png,high,315,original
315_low,316,2,1,data\corrupted\blur_15x15_s5\images\2\316.png,low,315,15x15_s5
283,284,2,1,data\splits\pilot_100id\images\2\284.png,high,283,original
283_low,284,2,1,data\corrupted\blur_15x15_s5\images\2\284.png,low,283,15x15_s5
302,303,2,1,data\splits\pilot_100id\images\2\303.png,high,302,original
302_low,303,2,1,data\corrupted\blur_15x15_s5\images\2\303.png,low,302,15x15_s5
280,281,2,1,data\splits\pilot_100id\images\2\281.png,high,280,original
280_low,281,2,1,data\corrupted\blur_15x15_s5\images\2\281.png,low,280,15x15_s5
330,331,2,1,data\splits\pilot_100id\images\2\331.png,high,330,original
330_low,331,2,1,data\corrupted\blur_15x15_s5\images\2\331.png,low,330,15x15_s5
276,277,2,1,data\splits\pilot_100id\images\2\277.png,high,276,original
276_low,277,2,1,data\corrupted\blur_15x15_s5\images\2\277.png,low,276,15x15_s5
339,340,2,1,data\splits\pilot_100id\images\2\340.png,high,339,original
339_low,340,2,1,data\corrupted\blur_15x15_s5\images\2\340.png,low,339,15x15_s5
301,302,2,1,data\splits\pilot_100id\images\2\302.png,high,301,original
301_low,302,2,1,data\corrupted\blur_15x15_s5\images\2\302.png,low,301,15x15_s5
328,329,2,1,data\splits\pilot_100id\images\2\329.png,high,328,original
328_low,329,2,1,data\corrupted\blur_15x15_s5\images\2\329.png,low,328,15x15_s5
306,307,2,1,data\splits\pilot_100id\images\2\307.png,high,306,original
306_low,307,2,1,data\corrupted\blur_15x15_s5\images\2\307.png,low,306,15x15_s5
327,328,2,1,data\splits\pilot_100id\images\2\328.png,high,327,original
327_low,328,2,1,data\corrupted\blur_15x15_s5\images\2\328.png,low,327,15x15_s5
317,318,2,1,data\splits\pilot_100id\images\2\318.png,high,317,original
317_low,318,2,1,data\corrupted\blur_15x15_s5\images\2\318.png,low,317,15x15_s5
287,288,2,1,data\splits\pilot_100id\images\2\288.png,high,287,original
287_low,288,2,1,data\corrupted\blur_15x15_s5\images\2\288.png,low,287,15x15_s5
305,306,2,1,data\splits\pilot_100id\images\2\306.png,high,305,original
305_low,306,2,1,data\corrupted\blur_15x15_s5\images\2\306.png,low,305,15x15_s5
313,314,2,1,data\splits\pilot_100id\images\2\314.png,high,313,original
313_low,314,2,1,data\corrupted\blur_15x15_s5\images\2\314.png,low,313,15x15_s5
299,300,2,1,data\splits\pilot_100id\images\2\300.png,high,299,original
299_low,300,2,1,data\corrupted\blur_15x15_s5\images\2\300.png,low,299,15x15_s5
278,279,2,1,data\splits\pilot_100id\images\2\279.png,high,278,original
278_low,279,2,1,data\corrupted\blur_15x15_s5\images\2\279.png,low,278,15x15_s5
410,411,3,2,data\splits\pilot_100id\images\3\411.png,high,410,original
410_low,411,3,2,data\corrupted\blur_15x15_s5\images\3\411.png,low,410,15x15_s5
558,559,3,2,data\splits\pilot_100id\images\3\559.png,high,558,original
558_low,559,3,2,data\corrupted\blur_15x15_s5\images\3\559.png,low,558,15x15_s5
724,725,3,2,data\splits\pilot_100id\images\3\725.png,high,724,original
724_low,725,3,2,data\corrupted\blur_15x15_s5\images\3\725.png,low,724,15x15_s5
373,374,3,2,data\splits\pilot_100id\images\3\374.png,high,373,original
373_low,374,3,2,data\corrupted\blur_15x15_s5\images\3\374.png,low,373,15x15_s5
382,383,3,2,data\splits\pilot_100id\images\3\383.png,high,382,original
382_low,383,3,2,data\corrupted\blur_15x15_s5\images\3\383.png,low,382,15x15_s5
417,418,3,2,data\splits\pilot_100id\images\3\418.png,high,417,original
417_low,418,3,2,data\corrupted\blur_15x15_s5\images\3\418.png,low,417,15x15_s5
477,478,3,2,data\splits\pilot_100id\images\3\478.png,high,477,original
477_low,478,3,2,data\corrupted\blur_15x15_s5\images\3\478.png,low,477,15x15_s5
671,672,3,2,data\splits\pilot_100id\images\3\672.png,high,671,original
671_low,672,3,2,data\corrupted\blur_15x15_s5\images\3\672.png,low,671,15x15_s5
705,706,3,2,data\splits\pilot_100id\images\3\706.png,high,705,original
705_low,706,3,2,data\corrupted\blur_15x15_s5\images\3\706.png,low,705,15x15_s5
605,606,3,2,data\splits\pilot_100id\images\3\606.png,high,605,original
605_low,606,3,2,data\corrupted\blur_15x15_s5\images\3\606.png,low,605,15x15_s5
704,705,3,2,data\splits\pilot_100id\images\3\705.png,high,704,original
704_low,705,3,2,data\corrupted\blur_15x15_s5\images\3\705.png,low,704,15x15_s5
418,419,3,2,data\splits\pilot_100id\images\3\419.png,high,418,original
418_low,419,3,2,data\corrupted\blur_15x15_s5\images\3\419.png,low,418,15x15_s5
623,624,3,2,data\splits\pilot_100id\images\3\624.png,high,623,original
623_low,624,3,2,data\corrupted\blur_15x15_s5\images\3\624.png,low,623,15x15_s5
726,727,3,2,data\splits\pilot_100id\images\3\727.png,high,726,original
726_low,727,3,2,data\corrupted\blur_15x15_s5\images\3\727.png,low,726,15x15_s5
495,496,3,2,data\splits\pilot_100id\images\3\496.png,high,495,original
495_low,496,3,2,data\corrupted\blur_15x15_s5\images\3\496.png,low,495,15x15_s5
595,596,3,2,data\splits\pilot_100id\images\3\596.png,high,595,original
595_low,596,3,2,data\corrupted\blur_15x15_s5\images\3\596.png,low,595,15x15_s5
517,518,3,2,data\splits\pilot_100id\images\3\518.png,high,517,original
517_low,518,3,2,data\corrupted\blur_15x15_s5\images\3\518.png,low,517,15x15_s5
691,692,3,2,data\splits\pilot_100id\images\3\692.png,high,691,original
691_low,692,3,2,data\corrupted\blur_15x15_s5\images\3\692.png,low,691,15x15_s5
349,350,3,2,data\splits\pilot_100id\images\3\350.png,high,349,original
349_low,350,3,2,data\corrupted\blur_15x15_s5\images\3\350.png,low,349,15x15_s5
535,536,3,2,data\splits\pilot_100id\images\3\536.png,high,535,original
535_low,536,3,2,data\corrupted\blur_15x15_s5\images\3\536.png,low,535,15x15_s5
395,396,3,2,data\splits\pilot_100id\images\3\396.png,high,395,original
395_low,396,3,2,data\corrupted\blur_15x15_s5\images\3\396.png,low,395,15x15_s5
739,740,3,2,data\splits\pilot_100id\images\3\740.png,high,739,original
739_low,740,3,2,data\corrupted\blur_15x15_s5\images\3\740.png,low,739,15x15_s5
593,594,3,2,data\splits\pilot_100id\images\3\594.png,high,593,original
593_low,594,3,2,data\corrupted\blur_15x15_s5\images\3\594.png,low,593,15x15_s5
572,573,3,2,data\splits\pilot_100id\images\3\573.png,high,572,original
572_low,573,3,2,data\corrupted\blur_15x15_s5\images\3\573.png,low,572,15x15_s5
702,703,3,2,data\splits\pilot_100id\images\3\703.png,high,702,original
702_low,703,3,2,data\corrupted\blur_15x15_s5\images\3\703.png,low,702,15x15_s5
748,749,4,3,data\splits\pilot_100id\images\4\749.png,high,748,original
748_low,749,4,3,data\corrupted\blur_15x15_s5\images\4\749.png,low,748,15x15_s5
807,808,4,3,data\splits\pilot_100id\images\4\808.png,high,807,original
807_low,808,4,3,data\corrupted\blur_15x15_s5\images\4\808.png,low,807,15x15_s5
762,763,4,3,data\splits\pilot_100id\images\4\763.png,high,762,original
762_low,763,4,3,data\corrupted\blur_15x15_s5\images\4\763.png,low,762,15x15_s5
744,745,4,3,data\splits\pilot_100id\images\4\745.png,high,744,original
744_low,745,4,3,data\corrupted\blur_15x15_s5\images\4\745.png,low,744,15x15_s5
772,773,4,3,data\splits\pilot_100id\images\4\773.png,high,772,original
772_low,773,4,3,data\corrupted\blur_15x15_s5\images\4\773.png,low,772,15x15_s5
817,818,4,3,data\splits\pilot_100id\images\4\818.png,high,817,original
817_low,818,4,3,data\corrupted\blur_15x15_s5\images\4\818.png,low,817,15x15_s5
754,755,4,3,data\splits\pilot_100id\images\4\755.png,high,754,original
754_low,755,4,3,data\corrupted\blur_15x15_s5\images\4\755.png,low,754,15x15_s5
778,779,4,3,data\splits\pilot_100id\images\4\779.png,high,778,original
778_low,779,4,3,data\corrupted\blur_15x15_s5\images\4\779.png,low,778,15x15_s5
756,757,4,3,data\splits\pilot_100id\images\4\757.png,high,756,original
756_low,757,4,3,data\corrupted\blur_15x15_s5\images\4\757.png,low,756,15x15_s5
799,800,4,3,data\splits\pilot_100id\images\4\800.png,high,799,original
799_low,800,4,3,data\corrupted\blur_15x15_s5\images\4\800.png,low,799,15x15_s5
809,810,4,3,data\splits\pilot_100id\images\4\810.png,high,809,original
809_low,810,4,3,data\corrupted\blur_15x15_s5\images\4\810.png,low,809,15x15_s5
775,776,4,3,data\splits\pilot_100id\images\4\776.png,high,775,original
775_low,776,4,3,data\corrupted\blur_15x15_s5\images\4\776.png,low,775,15x15_s5
753,754,4,3,data\splits\pilot_100id\images\4\754.png,high,753,original
753_low,754,4,3,data\corrupted\blur_15x15_s5\images\4\754.png,low,753,15x15_s5
789,790,4,3,data\splits\pilot_100id\images\4\790.png,high,789,original
789_low,790,4,3,data\corrupted\blur_15x15_s5\images\4\790.png,low,789,15x15_s5
749,750,4,3,data\splits\pilot_100id\images\4\750.png,high,749,original
749_low,750,4,3,data\corrupted\blur_15x15_s5\images\4\750.png,low,749,15x15_s5
766,767,4,3,data\splits\pilot_100id\images\4\767.png,high,766,original
766_low,767,4,3,data\corrupted\blur_15x15_s5\images\4\767.png,low,766,15x15_s5
801,802,4,3,data\splits\pilot_100id\images\4\802.png,high,801,original
801_low,802,4,3,data\corrupted\blur_15x15_s5\images\4\802.png,low,801,15x15_s5
794,795,4,3,data\splits\pilot_100id\images\4\795.png,high,794,original
794_low,795,4,3,data\corrupted\blur_15x15_s5\images\4\795.png,low,794,15x15_s5
777,778,4,3,data\splits\pilot_100id\images\4\778.png,high,777,original
777_low,778,4,3,data\corrupted\blur_15x15_s5\images\4\778.png,low,777,15x15_s5
783,784,4,3,data\splits\pilot_100id\images\4\784.png,high,783,original
783_low,784,4,3,data\corrupted\blur_15x15_s5\images\4\784.png,low,783,15x15_s5
814,815,4,3,data\splits\pilot_100id\images\4\815.png,high,814,original
814_low,815,4,3,data\corrupted\blur_15x15_s5\images\4\815.png,low,814,15x15_s5
760,761,4,3,data\splits\pilot_100id\images\4\761.png,high,760,original
760_low,761,4,3,data\corrupted\blur_15x15_s5\images\4\761.png,low,760,15x15_s5
779,780,4,3,data\splits\pilot_100id\images\4\780.png,high,779,original
779_low,780,4,3,data\corrupted\blur_15x15_s5\images\4\780.png,low,779,15x15_s5
788,789,4,3,data\splits\pilot_100id\images\4\789.png,high,788,original
788_low,789,4,3,data\corrupted\blur_15x15_s5\images\4\789.png,low,788,15x15_s5
805,806,4,3,data\splits\pilot_100id\images\4\806.png,high,805,original
805_low,806,4,3,data\corrupted\blur_15x15_s5\images\4\806.png,low,805,15x15_s5
948,949,6,4,data\splits\pilot_100id\images\6\949.png,high,948,original
948_low,949,6,4,data\corrupted\blur_15x15_s5\images\6\949.png,low,948,15x15_s5
947,948,6,4,data\splits\pilot_100id\images\6\948.png,high,947,original
947_low,948,6,4,data\corrupted\blur_15x15_s5\images\6\948.png,low,947,15x15_s5
855,856,6,4,data\splits\pilot_100id\images\6\856.png,high,855,original
855_low,856,6,4,data\corrupted\blur_15x15_s5\images\6\856.png,low,855,15x15_s5
869,870,6,4,data\splits\pilot_100id\images\6\870.png,high,869,original
869_low,870,6,4,data\corrupted\blur_15x15_s5\images\6\870.png,low,869,15x15_s5
966,967,6,4,data\splits\pilot_100id\images\6\967.png,high,966,original
966_low,967,6,4,data\corrupted\blur_15x15_s5\images\6\967.png,low,966,15x15_s5
909,910,6,4,data\splits\pilot_100id\images\6\910.png,high,909,original
909_low,910,6,4,data\corrupted\blur_15x15_s5\images\6\910.png,low,909,15x15_s5
907,908,6,4,data\splits\pilot_100id\images\6\908.png,high,907,original
907_low,908,6,4,data\corrupted\blur_15x15_s5\images\6\908.png,low,907,15x15_s5
958,959,6,4,data\splits\pilot_100id\images\6\959.png,high,958,original
958_low,959,6,4,data\corrupted\blur_15x15_s5\images\6\959.png,low,958,15x15_s5
976,977,6,4,data\splits\pilot_100id\images\6\977.png,high,976,original
976_low,977,6,4,data\corrupted\blur_15x15_s5\images\6\977.png,low,976,15x15_s5
928,929,6,4,data\splits\pilot_100id\images\6\929.png,high,928,original
928_low,929,6,4,data\corrupted\blur_15x15_s5\images\6\929.png,low,928,15x15_s5
927,928,6,4,data\splits\pilot_100id\images\6\928.png,high,927,original
927_low,928,6,4,data\corrupted\blur_15x15_s5\images\6\928.png,low,927,15x15_s5
888,889,6,4,data\splits\pilot_100id\images\6\889.png,high,888,original
888_low,889,6,4,data\corrupted\blur_15x15_s5\images\6\889.png,low,888,15x15_s5
912,913,6,4,data\splits\pilot_100id\images\6\913.png,high,912,original
912_low,913,6,4,data\corrupted\blur_15x15_s5\images\6\913.png,low,912,15x15_s5
910,911,6,4,data\splits\pilot_100id\images\6\911.png,high,910,original
910_low,911,6,4,data\corrupted\blur_15x15_s5\images\6\911.png,low,910,15x15_s5
874,875,6,4,data\splits\pilot_100id\images\6\875.png,high,874,original
874_low,875,6,4,data\corrupted\blur_15x15_s5\images\6\875.png,low,874,15x15_s5
885,886,6,4,data\splits\pilot_100id\images\6\886.png,high,885,original
885_low,886,6,4,data\corrupted\blur_15x15_s5\images\6\886.png,low,885,15x15_s5
870,871,6,4,data\splits\pilot_100id\images\6\871.png,high,870,original
870_low,871,6,4,data\corrupted\blur_15x15_s5\images\6\871.png,low,870,15x15_s5
862,863,6,4,data\splits\pilot_100id\images\6\863.png,high,862,original
862_low,863,6,4,data\corrupted\blur_15x15_s5\images\6\863.png,low,862,15x15_s5
975,976,6,4,data\splits\pilot_100id\images\6\976.png,high,975,original
975_low,976,6,4,data\corrupted\blur_15x15_s5\images\6\976.png,low,975,15x15_s5
899,900,6,4,data\splits\pilot_100id\images\6\900.png,high,899,original
899_low,900,6,4,data\corrupted\blur_15x15_s5\images\6\900.png,low,899,15x15_s5
968,969,6,4,data\splits\pilot_100id\images\6\969.png,high,968,original
968_low,969,6,4,data\corrupted\blur_15x15_s5\images\6\969.png,low,968,15x15_s5
847,848,6,4,data\splits\pilot_100id\images\6\848.png,high,847,original
847_low,848,6,4,data\corrupted\blur_15x15_s5\images\6\848.png,low,847,15x15_s5
952,953,6,4,data\splits\pilot_100id\images\6\953.png,high,952,original
952_low,953,6,4,data\corrupted\blur_15x15_s5\images\6\953.png,low,952,15x15_s5
879,880,6,4,data\splits\pilot_100id\images\6\880.png,high,879,original
879_low,880,6,4,data\corrupted\blur_15x15_s5\images\6\880.png,low,879,15x15_s5
932,933,6,4,data\splits\pilot_100id\images\6\933.png,high,932,original
932_low,933,6,4,data\corrupted\blur_15x15_s5\images\6\933.png,low,932,15x15_s5
1039,1040,8,5,data\splits\pilot_100id\images\8\1040.png,high,1039,original
1039_low,1040,8,5,data\corrupted\blur_15x15_s5\images\8\1040.png,low,1039,15x15_s5
1012,1013,8,5,data\splits\pilot_100id\images\8\1013.png,high,1012,original
1012_low,1013,8,5,data\corrupted\blur_15x15_s5\images\8\1013.png,low,1012,15x15_s5
1187,1188,8,5,data\splits\pilot_100id\images\8\1188.png,high,1187,original
1187_low,1188,8,5,data\corrupted\blur_15x15_s5\images\8\1188.png,low,1187,15x15_s5
1092,1093,8,5,data\splits\pilot_100id\images\8\1093.png,high,1092,original
1092_low,1093,8,5,data\corrupted\blur_15x15_s5\images\8\1093.png,low,1092,15x15_s5
1161,1162,8,5,data\splits\pilot_100id\images\8\1162.png,high,1161,original
1161_low,1162,8,5,data\corrupted\blur_15x15_s5\images\8\1162.png,low,1161,15x15_s5
1184,1185,8,5,data\splits\pilot_100id\images\8\1185.png,high,1184,original
1184_low,1185,8,5,data\corrupted\blur_15x15_s5\images\8\1185.png,low,1184,15x15_s5
1200,1201,8,5,data\splits\pilot_100id\images\8\1201.png,high,1200,original
1200_low,1201,8,5,data\corrupted\blur_15x15_s5\images\8\1201.png,low,1200,15x15_s5
1110,1111,8,5,data\splits\pilot_100id\images\8\1111.png,high,1110,original
1110_low,1111,8,5,data\corrupted\blur_15x15_s5\images\8\1111.png,low,1110,15x15_s5
1015,1016,8,5,data\splits\pilot_100id\images\8\1016.png,high,1015,original
1015_low,1016,8,5,data\corrupted\blur_15x15_s5\images\8\1016.png,low,1015,15x15_s5
1240,1241,8,5,data\splits\pilot_100id\images\8\1241.png,high,1240,original
1240_low,1241,8,5,data\corrupted\blur_15x15_s5\images\8\1241.png,low,1240,15x15_s5
1237,1238,8,5,data\splits\pilot_100id\images\8\1238.png,high,1237,original
1237_low,1238,8,5,data\corrupted\blur_15x15_s5\images\8\1238.png,low,1237,15x15_s5
1219,1220,8,5,data\splits\pilot_100id\images\8\1220.png,high,1219,original
1219_low,1220,8,5,data\corrupted\blur_15x15_s5\images\8\1220.png,low,1219,15x15_s5
1243,1244,8,5,data\splits\pilot_100id\images\8\1244.png,high,1243,original
1243_low,1244,8,5,data\corrupted\blur_15x15_s5\images\8\1244.png,low,1243,15x15_s5
1179,1180,8,5,data\splits\pilot_100id\images\8\1180.png,high,1179,original
1179_low,1180,8,5,data\corrupted\blur_15x15_s5\images\8\1180.png,low,1179,15x15_s5
1072,1073,8,5,data\splits\pilot_100id\images\8\1073.png,high,1072,original
1072_low,1073,8,5,data\corrupted\blur_15x15_s5\images\8\1073.png,low,1072,15x15_s5
1228,1229,8,5,data\splits\pilot_100id\images\8\1229.png,high,1228,original
1228_low,1229,8,5,data\corrupted\blur_15x15_s5\images\8\1229.png,low,1228,15x15_s5
1225,1226,8,5,data\splits\pilot_100id\images\8\1226.png,high,1225,original
1225_low,1226,8,5,data\corrupted\blur_15x15_s5\images\8\1226.png,low,1225,15x15_s5
1021,1022,8,5,data\splits\pilot_100id\images\8\1022.png,high,1021,original
1021_low,1022,8,5,data\corrupted\blur_15x15_s5\images\8\1022.png,low,1021,15x15_s5
1188,1189,8,5,data\splits\pilot_100id\images\8\1189.png,high,1188,original
1188_low,1189,8,5,data\corrupted\blur_15x15_s5\images\8\1189.png,low,1188,15x15_s5
1030,1031,8,5,data\splits\pilot_100id\images\8\1031.png,high,1030,original
1030_low,1031,8,5,data\corrupted\blur_15x15_s5\images\8\1031.png,low,1030,15x15_s5
1126,1127,8,5,data\splits\pilot_100id\images\8\1127.png,high,1126,original
1126_low,1127,8,5,data\corrupted\blur_15x15_s5\images\8\1127.png,low,1126,15x15_s5
1025,1026,8,5,data\splits\pilot_100id\images\8\1026.png,high,1025,original
1025_low,1026,8,5,data\corrupted\blur_15x15_s5\images\8\1026.png,low,1025,15x15_s5
1118,1119,8,5,data\splits\pilot_100id\images\8\1119.png,high,1118,original
1118_low,1119,8,5,data\corrupted\blur_15x15_s5\images\8\1119.png,low,1118,15x15_s5
1073,1074,8,5,data\splits\pilot_100id\images\8\1074.png,high,1073,original
1073_low,1074,8,5,data\corrupted\blur_15x15_s5\images\8\1074.png,low,1073,15x15_s5
1227,1228,8,5,data\splits\pilot_100id\images\8\1228.png,high,1227,original
1227_low,1228,8,5,data\corrupted\blur_15x15_s5\images\8\1228.png,low,1227,15x15_s5
1358,1359,9,6,data\splits\pilot_100id\images\9\1359.png,high,1358,original
1358_low,1359,9,6,data\corrupted\blur_15x15_s5\images\9\1359.png,low,1358,15x15_s5
1361,1362,9,6,data\splits\pilot_100id\images\9\1362.png,high,1361,original
1361_low,1362,9,6,data\corrupted\blur_15x15_s5\images\9\1362.png,low,1361,15x15_s5
1394,1395,9,6,data\splits\pilot_100id\images\9\1395.png,high,1394,original
1394_low,1395,9,6,data\corrupted\blur_15x15_s5\images\9\1395.png,low,1394,15x15_s5
1308,1309,9,6,data\splits\pilot_100id\images\9\1309.png,high,1308,original
1308_low,1309,9,6,data\corrupted\blur_15x15_s5\images\9\1309.png,low,1308,15x15_s5
1347,1348,9,6,data\splits\pilot_100id\images\9\1348.png,high,1347,original
1347_low,1348,9,6,data\corrupted\blur_15x15_s5\images\9\1348.png,low,1347,15x15_s5
1282,1283,9,6,data\splits\pilot_100id\images\9\1283.png,high,1282,original
1282_low,1283,9,6,data\corrupted\blur_15x15_s5\images\9\1283.png,low,1282,15x15_s5
1354,1355,9,6,data\splits\pilot_100id\images\9\1355.png,high,1354,original
1354_low,1355,9,6,data\corrupted\blur_15x15_s5\images\9\1355.png,low,1354,15x15_s5
1304,1305,9,6,data\splits\pilot_100id\images\9\1305.png,high,1304,original
1304_low,1305,9,6,data\corrupted\blur_15x15_s5\images\9\1305.png,low,1304,15x15_s5
1353,1354,9,6,data\splits\pilot_100id\images\9\1354.png,high,1353,original
1353_low,1354,9,6,data\corrupted\blur_15x15_s5\images\9\1354.png,low,1353,15x15_s5
1395,1396,9,6,data\splits\pilot_100id\images\9\1396.png,high,1395,original
1395_low,1396,9,6,data\corrupted\blur_15x15_s5\images\9\1396.png,low,1395,15x15_s5
1272,1273,9,6,data\splits\pilot_100id\images\9\1273.png,high,1272,original
1272_low,1273,9,6,data\corrupted\blur_15x15_s5\images\9\1273.png,low,1272,15x15_s5
1337,1338,9,6,data\splits\pilot_100id\images\9\1338.png,high,1337,original
1337_low,1338,9,6,data\corrupted\blur_15x15_s5\images\9\1338.png,low,1337,15x15_s5
1268,1269,9,6,data\splits\pilot_100id\images\9\1269.png,high,1268,original
1268_low,1269,9,6,data\corrupted\blur_15x15_s5\images\9\1269.png,low,1268,15x15_s5
1319,1320,9,6,data\splits\pilot_100id\images\9\1320.png,high,1319,original
1319_low,1320,9,6,data\corrupted\blur_15x15_s5\images\9\1320.png,low,1319,15x15_s5
1277,1278,9,6,data\splits\pilot_100id\images\9\1278.png,high,1277,original
1277_low,1278,9,6,data\corrupted\blur_15x15_s5\images\9\1278.png,low,1277,15x15_s5
1283,1284,9,6,data\splits\pilot_100id\images\9\1284.png,high,1283,original
1283_low,1284,9,6,data\corrupted\blur_15x15_s5\images\9\1284.png,low,1283,15x15_s5
1381,1382,9,6,data\splits\pilot_100id\images\9\1382.png,high,1381,original
1381_low,1382,9,6,data\corrupted\blur_15x15_s5\images\9\1382.png,low,1381,15x15_s5
1400,1401,9,6,data\splits\pilot_100id\images\9\1401.png,high,1400,original
1400_low,1401,9,6,data\corrupted\blur_15x15_s5\images\9\1401.png,low,1400,15x15_s5
1351,1352,9,6,data\splits\pilot_100id\images\9\1352.png,high,1351,original
1351_low,1352,9,6,data\corrupted\blur_15x15_s5\images\9\1352.png,low,1351,15x15_s5
1269,1270,9,6,data\splits\pilot_100id\images\9\1270.png,high,1269,original
