image_id,true_identity,assigned_identity,noise_level,seed
T001855,4478,8658,10%,42
T001859,4478,1177,10%,42
T001866,4478,7811,10%,42
T001869,4478,1197,10%,42
T001875,4478,578,10%,42
T001876,4478,3158,10%,42
T001905,5830,4838,10%,42
T001911,5830,158,10%,42
T001923,5830,3,10%,42
T001954,1466,3205,10%,42
T001962,1466,1079,10%,42
T001996,1466,4373,10%,42
T001997,1466,3572,10%,42
T002011,69,2964,10%,42
T002022,69,33,10%,42
T002036,69,1388,10%,42
T002040,69,9237,10%,42
T002047,69,4486,10%,42
T002092,944,7766,10%,42
T002129,6558,166,10%,42
T002131,6558,4416,10%,42
T002141,6558,6669,10%,42
T002146,6558,1244,10%,42
T002154,2738,3106,10%,42
T002164,2738,191,10%,42
T002176,2738,3809,10%,42
T002187,2738,280,10%,42
T002194,2738,5708,10%,42
T002196,2738,2935,10%,42
T002198,2738,524,10%,42
T002201,5444,1398,10%,42
T002202,5444,2644,10%,42
T002218,5444,5408,10%,42
T002231,5444,3007,10%,42
T002237,5444,901,10%,42
T002246,5444,470,10%,42
T002255,6023,2794,10%,42
T002275,6023,2804,10%,42
T002277,6023,6406,10%,42
T002281,6023,3068,10%,42
T002283,6023,2040,10%,42
T002284,6023,6509,10%,42
T002299,6023,8855,10%,42
T002315,3274,6115,10%,42
T002321,3274,8927,10%,42
T002347,3274,2275,10%,42
T002355,21,8763,10%,42
T002358,21,2544,10%,42
T002359,21,5970,10%,42
T002366,21,6202,10%,42
T002379,21,9401,10%,42
T002411,2986,2446,10%,42
T002413,2986,6954,10%,42
T002417,2986,1801,10%,42
T002434,2986,4510,10%,42
T002449,2986,2308,10%,42
T002465,18,7925,10%,42
T002469,18,3190,10%,42
T002475,18,7030,10%,42
T002492,18,148,10%,42
T002501,47,4145,10%,42
T002514,47,5991,10%,42
T002520,47,387,10%,42
T002522,47,5210,10%,42
T002527,47,4355,10%,42
T002528,47,9519,10%,42
T002534,47,3066,10%,42
T002548,47,2293,10%,42
T002574,3,456,10%,42
T002578,3,257,10%,42
T002580,3,4958,10%,42
T002581,3,6993,10%,42
T002583,3,250,10%,42
T002625,2639,5726,10%,42
T002632,2639,6128,10%,42
T002641,2639,89,10%,42
T002650,14,8975,10%,42
T002657,14,7759,10%,42
T002680,14,4178,10%,42
T002686,14,4622,10%,42
T002711,1595,647,10%,42
T002727,1595,2987,10%,42
T002732,1595,4706,10%,42
T002740,1595,4682,10%,42
T002757,4362,6437,10%,42
T002763,4362,2289,10%,42
T002772,4362,2512,10%,42
T002776,4362,360,10%,42
T002794,4362,2554,10%,42
T002797,4362,9199,10%,42
T002811,1649,9241,10%,42
T002828,1649,8114,10%,42
T002835,1649,7977,10%,42
T002839,1649,5364,10%,42
T002841,1649,2308,10%,42
T002858,2027,1175,10%,42
T002878,2027,7987,10%,42
T002880,2027,8295,10%,42
T002884,2027,383,10%,42
T002910,291,599,10%,42
T002923,291,1204,10%,42
T002928,291,2084,10%,42
T002932,291,1603,10%,42
T002945,291,5629,10%,42
T002953,4312,5273,10%,42
T002967,4312,7115,10%,42
T002975,4312,4646,10%,42
T002988,4312,1122,10%,42
T003008,4290,6097,10%,42
T003020,4290,385,10%,42
T003024,4290,7372,10%,42
T003029,4290,1466,10%,42
T003034,4290,2646,10%,42
T003058,2644,7316,10%,42
T003067,2644,26,10%,42
T003079,2644,1008,10%,42
T003088,2644,7529,10%,42
T003104,6049,3901,10%,42
T003124,6049,5747,10%,42
T003126,6049,4329,10%,42
T003129,6049,455,10%,42
T003132,6049,238,10%,42
T003138,6049,3479,10%,42
T003173,1005,2243,10%,42
T003175,1005,4546,10%,42
T003185,1005,2982,10%,42
T003199,1005,863,10%,42
T003233,2526,591,10%,42
T003245,2526,787,10%,42
T003246,2526,808,10%,42
T003261,5447,1791,10%,42
T003265,5447,4844,10%,42
T003302,2725,2906,10%,42
T003311,2725,9638,10%,42
T003349,2725,3024,10%,42
T003353,1014,821,10%,42
T003355,1014,8715,10%,42
T003358,1014,562,10%,42
T003360,1014,8113,10%,42
T003363,1014,89,10%,42
T003366,1014,229,10%,42
T003378,1014,3729,10%,42
T003391,1014,7069,10%,42
T003401,626,4054,10%,42
T003402,626,3025,10%,42
T003407,626,976,10%,42
T003423,626,8545,10%,42
T003426,626,10343,10%,42
T003431,626,6332,10%,42
T003433,626,5991,10%,42
T003438,626,2509,10%,42
T003440,626,124,10%,42
T003441,626,8751,10%,42
T003443,626,4064,10%,42
T003452,2059,4044,10%,42
T003467,2059,1422,10%,42
T003471,2059,267,10%,42
T003472,2059,7088,10%,42
T003474,2059,4208,10%,42
T003481,2059,7942,10%,42
T003483,2059,9164,10%,42
T003484,2059,8791,10%,42
T003497,2059,7460,10%,42
T003502,6723,3926,10%,42
T003508,6723,7542,10%,42
T003514,6723,5166,10%,42
T003527,6723,1539,10%,42
T003542,6723,5746,10%,42
T003550,6811,7940,10%,42
T003551,6811,5041,10%,42
T003553,6811,6485,10%,42
T003590,6811,4670,10%,42
T003620,5889,2626,10%,42
T003650,5547,8867,10%,42
T003653,5547,4212,10%,42
T003670,5547,3741,10%,42
T003682,5547,4096,10%,42
T003684,5547,10195,10%,42
T003696,5547,4431,10%,42
T003701,8401,596,10%,42
T003721,8401,760,10%,42
T003734,8401,10293,10%,42
T003746,8401,9351,10%,42
T003748,8401,27,10%,42
T003749,8401,5851,10%,42
T003751,343,5991,10%,42
T003756,343,5495,10%,42
T003772,343,9164,10%,42
T003775,343,1439,10%,42
T003776,343,1727,10%,42
T003788,343,264,10%,42
T003791,343,8950,10%,42
T003801,308,5503,10%,42
T003809,308,56,10%,42
T003814,308,10067,10%,42
T003816,308,3331,10%,42
T003819,308,9906,10%,42
T003823,308,6374,10%,42
T003831,308,3066,10%,42
T003832,308,9257,10%,42
T003851,3687,1337,10%,42
T003852,3687,4487,10%,42
T003853,3687,8615,10%,42
T003860,3687,1047,10%,42
T003871,3687,528,10%,42
T003880,3687,673,10%,42
T003882,3687,1,10%,42
T003888,3687,6284,10%,42
T003889,3687,4874,10%,42
T003895,3687,5233,10%,42
T003896,3687,4178,10%,42
T003905,2834,3764,10%,42
T003907,2834,7242,10%,42
T003914,2834,3055,10%,42
T003935,2834,3498,10%,42
T003940,2834,1115,10%,42
T003941,2834,6777,10%,42
T003945,2834,2240,10%,42
T003950,406,7449,10%,42
T003960,406,554,10%,42
T003961,406,86,10%,42
T004007,4238,1629,10%,42
T004009,4238,1388,10%,42
T004018,4238,6796,10%,42
T004028,4238,690,10%,42
T004036,4238,3956,10%,42
T004049,4238,8206,10%,42
T004069,8313,3690,10%,42
T004089,8313,130,10%,42
T004092,8313,327,10%,42
T004103,693,5514,10%,42
T004104,693,10293,10%,42
T004106,693,9544,10%,42
T004109,693,8746,10%,42
T004112,693,847,10%,42
T004124,693,582,10%,42
T004150,2390,8565,10%,42
T004160,2390,1592,10%,42
T004168,2390,7076,10%,42
T004170,2390,899,10%,42
T004178,2390,2535,10%,42
T004185,2390,9,10%,42
T004187,2390,4879,10%,42
T004188,2390,9486,10%,42
T004191,2390,714,10%,42
T004192,2390,453,10%,42
T004201,199,1095,10%,42
T004203,199,32,10%,42
T004218,199,5657,10%,42
T004220,199,6134,10%,42
T004229,199,5726,10%,42
T004240,199,5882,10%,42
T004244,199,2332,10%,42
T004258,1022,581,10%,42
T004264,1022,1223,10%,42
T004281,1022,467,10%,42
T004298,1022,56,10%,42
T004303,1248,6601,10%,42
T004308,1248,5202,10%,42
T004314,1248,1896,10%,42
T004320,1248,3374,10%,42
T004334,1248,3010,10%,42
T004339,1248,632,10%,42
T004349,1248,5944,10%,42
T004397,5065,5511,10%,42
T004401,476,4281,10%,42
T004435,476,5177,10%,42
T004438,476,534,10%,42
T004447,476,5769,10%,42
T004449,476,7684,10%,42
T004453,1764,8712,10%,42
T004455,1764,7970,10%,42
T004458,1764,8312,10%,42
T004484,1764,7942,10%,42
T004499,1764,2749,10%,42
T004519,7601,6014,10%,42
T004521,7601,841,10%,42
T004535,7601,467,10%,42
T004537,7601,4769,10%,42
T004560,7766,8700,10%,42
T004561,7766,6514,10%,42
T004562,7766,5510,10%,42
T004565,7766,6301,10%,42
T004578,7766,2417,10%,42
T004579,7766,8444,10%,42
T004583,7766,6325,10%,42
T004599,7766,10177,10%,42
T004619,1657,987,10%,42
T004623,1657,4347,10%,42
T004624,1657,3165,10%,42
T004642,1657,2439,10%,42
T004646,1657,2486,10%,42
T004653,578,170,10%,42
T004660,578,1183,10%,42
T004674,578,5364,10%,42
T004682,578,117,10%,42
T004686,578,2697,10%,42
T004705,1236,3585,10%,42
T004718,1236,4215,10%,42
T004742,1236,57,10%,42
T004754,1039,3938,10%,42
T004767,1039,2486,10%,42
T004778,1039,3106,10%,42
T004788,1039,9940,10%,42
T004794,1039,59,10%,42
T004800,2013,2478,10%,42
T004827,2013,5233,10%,42
T004829,2013,7030,10%,42
T004846,2013,9808,10%,42
T004891,1147,3759,10%,42
T004899,1147,176,10%,42
T004907,176,6284,10%,42
T004911,176,7334,10%,42
T004925,176,4469,10%,42
T004934,176,4191,10%,42
T004935,176,4503,10%,42
T004942,176,1631,10%,42
T004953,39,7002,10%,42
T004957,39,6079,10%,42
T004958,39,1017,10%,42
T004965,39,4367,10%,42
T004970,39,3951,10%,42
T004984,39,4004,10%,42
T004987,39,6983,10%,42
T004988,39,8071,10%,42
T004991,39,899,10%,42
T004997,39,5761,10%,42
T005011,1154,985,10%,42
T005012,1154,136,10%,42
T005015,1154,187,10%,42
T005022,1154,6685,10%,42
T005043,1154,3517,10%,42
T005050,5511,7937,10%,42
T005080,5511,3331,10%,42
T005096,5511,889,10%,42
T005098,5511,6605,10%,42
T005101,7002,9236,10%,42
T005112,7002,629,10%,42
T005119,7002,683,10%,42
T005124,7002,5982,10%,42
T005133,7002,1658,10%,42
T005144,7002,264,10%,42
T005147,7002,2418,10%,42
T005175,4038,314,10%,42
T005177,4038,1727,10%,42
T005178,4038,240,10%,42
T005195,4038,3114,10%,42
T005203,469,1163,10%,42
T005225,469,4603,10%,42
T005226,469,2618,10%,42
T005232,469,3430,10%,42
T005263,4367,2432,10%,42
T005273,4367,279,10%,42
T005289,4367,6745,10%,42
T005297,4367,6151,10%,42
T005306,3941,198,10%,42
T005323,3941,4523,10%,42
T005342,3941,1071,10%,42
T005345,3941,84,10%,42
T005353,6232,4499,10%,42
T005356,6232,387,10%,42
T005361,6232,4502,10%,42
T005365,6232,351,10%,42
T005386,6232,1535,10%,42
T005387,6232,194,10%,42
T005394,6232,1801,10%,42
T005399,6232,4212,10%,42
T005407,9237,270,10%,42
T005419,9237,4420,10%,42
T005422,9237,2243,10%,42
T005427,9237,6602,10%,42
T005431,9237,9204,10%,42
T005438,9237,8691,10%,42
T005448,9237,340,10%,42
T005452,6485,175,10%,42
T005456,6485,819,10%,42
T005470,6485,4508,10%,42
T005477,6485,2,10%,42
T005493,6485,2004,10%,42
T005502,25,3362,10%,42
T005503,25,6332,10%,42
T005512,25,2881,10%,42
T005518,25,1095,10%,42
T005532,25,3350,10%,42
T005537,25,4724,10%,42
T005538,25,2083,10%,42
T005540,25,3467,10%,42
T005557,221,2387,10%,42
T005559,221,4263,10%,42
T005564,221,7333,10%,42
T005573,221,1122,10%,42
T005578,221,3274,10%,42
T005597,221,1022,10%,42
T005604,2646,5953,10%,42
T005628,2646,3788,10%,42
T005636,2646,915,10%,42
T005642,2646,1910,10%,42
T005651,4168,5726,10%,42
T005652,4168,4226,10%,42
T005657,4168,2154,10%,42
T005660,4168,128,10%,42
T005688,4168,1125,10%,42
T005691,4168,1212,10%,42
T005706,6323,1755,10%,42
T005712,6323,582,10%,42
T005716,6323,1815,10%,42
T005734,6323,649,10%,42
T005745,6323,2027,10%,42
T005756,3749,10206,10%,42
T005761,3749,9544,10%,42
T005778,3749,1090,10%,42
T005780,3749,43,10%,42
T005783,3749,5589,10%,42
T005789,3749,1933,10%,42
T005799,3749,105,10%,42
T005823,688,987,10%,42
T005824,688,7429,10%,42
T005838,688,2352,10%,42
T005840,688,3208,10%,42
T005856,2244,2787,10%,42
T005858,2244,4314,10%,42
T005880,2244,4856,10%,42
T005886,2244,233,10%,42
T005893,2244,1490,10%,42
T005895,2244,2418,10%,42
T005899,2244,6909,10%,42
T005908,88,485,10%,42
T005913,88,6271,10%,42
T005916,88,714,10%,42
T005917,88,1164,10%,42
T005931,88,4314,10%,42
T005937,88,6374,10%,42
T005956,34,10314,10%,42
T005966,34,5393,10%,42
T005980,34,730,10%,42
T006039,1117,573,10%,42
T006048,1117,1514,10%,42
T006051,1336,2118,10%,42
T006067,1336,1992,10%,42
T006068,1336,5714,10%,42
T006069,1336,306,10%,42
T006097,1336,5392,10%,42
T006114,4728,284,10%,42
T006115,4728,3813,10%,42
T006137,4728,9543,10%,42
T006146,4728,8075,10%,42
T006147,4728,974,10%,42
T006155,4800,3479,10%,42
T006175,4800,5678,10%,42
T006183,4800,7176,10%,42
T006193,4800,4221,10%,42
T006205,5624,9724,10%,42
T006209,5624,159,10%,42
T006211,5624,1189,10%,42
T006216,5624,3343,10%,42
T006226,5624,2433,10%,42
T006238,5624,7811,10%,42
T006241,5624,2493,10%,42
T006248,5624,6949,10%,42
T006271,86,6685,10%,42
T006272,86,101,10%,42
T006281,86,6263,10%,42
T006295,86,1202,10%,42
T006297,86,6890,10%,42
T006331,1188,5708,10%,42
T006334,1188,3007,10%,42
T006338,1188,8571,10%,42
T006362,85,4486,10%,42
T006367,85,2165,10%,42
T006371,85,21,10%,42
T006386,85,3914,10%,42
T006388,85,1552,10%,42
T006391,85,3708,10%,42
T006399,85,5202,10%,42
T006418,3619,132,10%,42
T006426,3619,6224,10%,42
T006431,3619,9610,10%,42
T006442,3619,3362,10%,42
T006444,3619,384,10%,42
T006450,136,2613,10%,42
T006459,136,1704,10%,42
T006465,136,2355,10%,42
T006476,136,6647,10%,42
T006485,136,253,10%,42
T006500,3241,58,10%,42
T006503,3241,3056,10%,42
T006504,3241,171,10%,42
T006507,3241,8882,10%,42
T006516,3241,8050,10%,42
T006517,3241,5984,10%,42
T006520,3241,391,10%,42
T006523,3241,8258,10%,42
T006551,4682,240,10%,42
T006566,4682,1613,10%,42
T006570,4682,6357,10%,42
T006571,4682,610,10%,42
T006573,4682,4450,10%,42
T006574,4682,7031,10%,42
T006578,4682,2613,10%,42
T006580,4682,6332,10%,42
T006590,4682,1219,10%,42
T006594,4682,5132,10%,42
T006607,3056,6606,10%,42
T006609,3056,6201,10%,42
T006610,3056,3609,10%,42
T006646,3056,1933,10%,42
T006658,46,1798,10%,42
T006665,46,8982,10%,42
T006674,46,6030,10%,42
T006681,46,4445,10%,42
T006705,4469,6059,10%,42
T006713,4469,1994,10%,42
T006730,4469,9719,10%,42
T006738,4469,2093,10%,42
T006751,5392,186,10%,42
T006794,5392,2164,10%,42
T006799,5392,4161,10%,42
T006801,7334,448,10%,42
T006811,7334,6425,10%,42
T006845,7334,235,10%,42
T006861,852,863,10%,42
T006864,852,7049,10%,42
T006875,852,8745,10%,42
T006904,1168,3518,10%,42
T006907,1168,903,10%,42
T006910,1168,6094,10%,42
T006916,1168,1095,10%,42
T006917,1168,8783,10%,42
T006925,1168,1468,10%,42
T006928,1168,7372,10%,42
T006932,1168,5994,10%,42
T006939,1168,6301,10%,42
T006958,2042,3611,10%,42
T006985,2042,2581,10%,42
T006989,2042,5963,10%,42
T006991,2042,8613,10%,42
T006999,2042,2433,10%,42
T007011,6284,6513,10%,42
T007015,6284,6263,10%,42
T007017,6284,226,10%,42
T007021,6284,900,10%,42
T007033,6284,1523,10%,42
T007047,6284,1399,10%,42
T007064,7018,7913,10%,42
T007068,7018,137,10%,42
T007071,7018,4469,10%,42
T007110,3774,1223,10%,42
T007117,3774,926,10%,42
T007122,3774,5879,10%,42
T007159,4603,2390,10%,42
T007166,4603,1379,10%,42
T007168,4603,1306,10%,42
T007171,4603,266,10%,42
T007182,4603,571,10%,42
T007185,4603,6796,10%,42
T007232,2881,198,10%,42
T007238,2881,5233,10%,42
T007240,2881,6851,10%,42
T007244,2881,629,10%,42
T007248,2881,1200,10%,42
T007249,2881,4497,10%,42
T007250,3451,3224,10%,42
T007252,3451,5746,10%,42
T007261,3451,7333,10%,42
T007273,3451,4048,10%,42
T007291,3451,3456,10%,42
T007295,3451,562,10%,42
T007321,1040,3003,10%,42
T007330,1040,168,10%,42
T007359,2842,9738,10%,42
T007361,2842,9351,10%,42
T007384,2842,4955,10%,42
T007385,2842,2331,10%,42
T007386,2842,3240,10%,42
T007388,2842,1888,10%,42
T007409,6909,2434,10%,42
T007432,6909,1179,10%,42
T007436,6909,7673,10%,42
T007471,863,5368,10%,42
T007473,863,4145,10%,42
T007479,863,2404,10%,42
T007488,863,3459,10%,42
T007497,863,6796,10%,42
T007505,386,8304,10%,42
T007506,386,9940,10%,42
T007512,386,9519,10%,42
T007519,386,6754,10%,42
T007532,386,2987,10%,42
T007536,386,6406,10%,42
T007538,386,4862,10%,42
T007542,386,7764,10%,42
T007550,5708,3870,10%,42
T007556,5708,1240,10%,42
T007558,5708,5009,10%,42
T007570,5708,7471,10%,42
T007612,871,10060,10%,42
T007625,871,76,10%,42
T007635,871,5769,10%,42
T007646,871,1243,10%,42
T007650,359,5993,10%,42
T007655,359,333,10%,42
T007666,359,1039,10%,42
T007685,359,5226,10%,42
T007687,359,378,10%,42
T007688,359,1613,10%,42
T007693,359,7764,10%,42
T007727,7645,5985,10%,42
T007751,1183,1104,10%,42
T007755,1183,7601,10%,42
T007762,1183,9175,10%,42
T007768,1183,5944,10%,42
T007806,7031,4741,10%,42
T007807,7031,9833,10%,42
T007826,7031,4285,10%,42
T007830,7031,6897,10%,42
T007840,7031,1626,10%,42
T007844,7031,3914,10%,42
T007848,7031,3708,10%,42
T007871,22,71,10%,42
T007920,2023,3232,10%,42
T007927,2023,6357,10%,42
T007945,2023,1008,10%,42
T007949,2023,155,10%,42
T007958,843,7766,10%,42
T007984,843,8401,10%,42
T007985,843,5592,10%,42
T007988,843,5540,10%,42
T008000,5086,3676,10%,42
T008010,5086,967,10%,42
T008016,5086,7981,10%,42
T008025,5086,5319,10%,42
T008026,5086,10342,10%,42
T008030,5086,3012,10%,42
T008046,5086,672,10%,42
T008055,5748,8169,10%,42
T008067,5748,4399,10%,42
T008077,5748,3585,10%,42
T008108,178,985,10%,42
T008134,178,327,10%,42
T008139,178,2794,10%,42
T008157,1048,1102,10%,42
T008188,1048,3749,10%,42
T008189,1048,9952,10%,42
T008204,1150,2829,10%,42
T008213,1150,1154,10%,42
T008231,1150,6500,10%,42
T008234,1150,169,10%,42
T008237,1150,155,10%,42
T008255,9833,7937,10%,42
T008256,9833,6830,10%,42
T008257,9833,8664,10%,42
T008260,9833,6232,10%,42
T008295,9833,291,10%,42
T008302,986,609,10%,42
T008328,986,967,10%,42
T008329,986,607,10%,42
T008331,986,852,10%,42
T008334,986,4489,10%,42
T008341,986,5610,10%,42
T008353,467,3232,10%,42
T008355,467,43,10%,42
T008362,467,8507,10%,42
T008371,467,3678,10%,42
T008401,6891,10188,10%,42
T008407,6891,12,10%,42
T008416,6891,5368,10%,42
T008425,6891,250,10%,42
T008434,6891,3270,10%,42
T008446,6891,638,10%,42
T008454,2397,2166,10%,42
T008456,2397,684,10%,42
T008474,2397,5408,10%,42
T008475,2397,5120,10%,42
T008535,3134,3464,10%,42
T008540,3134,5627,10%,42
T008568,5834,8922,10%,42
T008586,5834,977,10%,42
T008596,5834,532,10%,42
T008597,5834,1005,10%,42
T008602,5944,3956,10%,42
T008606,5944,2023,10%,42
T008614,5944,477,10%,42
T008617,5944,587,10%,42
T008620,5944,2479,10%,42
T008624,5944,5162,10%,42
T008650,5225,7811,10%,42
T008666,5225,6709,10%,42
T008682,5225,8691,10%,42
T008696,5225,5084,10%,42
T008698,5225,1891,10%,42
T008704,105,9351,10%,42
T008712,105,690,10%,42
T008765,976,2314,10%,42
T008780,976,3165,10%,42
T008783,976,2558,10%,42
T008788,976,4232,10%,42
T008798,976,6244,10%,42
T008826,1,8416,10%,42
T008829,1,732,10%,42
T008833,1,33,10%,42
T008834,1,3296,10%,42
T008863,3954,3927,10%,42
T008865,3954,2471,10%,42
T008881,3954,1130,10%,42
T008883,3954,1292,10%,42
T008892,3954,4191,10%,42
T008897,3954,3610,10%,42
T008908,8855,2629,10%,42
T008911,8855,1245,10%,42
T008912,8855,8089,10%,42
T008914,8855,18,10%,42
T008935,8855,616,10%,42
T008936,8855,2637,10%,42
T008937,8855,9852,10%,42
T008942,8855,2275,10%,42
T008951,31,7803,10%,42
T008964,31,1061,10%,42
T008971,31,3384,10%,42
T008972,31,9726,10%,42
T008976,31,9852,10%,42
T008990,31,632,10%,42
T008992,31,5726,10%,42
T009009,404,2418,10%,42
T009019,404,2719,10%,42
T009020,404,589,10%,42
T009028,404,4432,10%,42
T009033,404,3619,10%,42
T009034,404,3787,10%,42
T009036,404,491,10%,42
T009043,404,2729,10%,42
T009057,532,6237,10%,42
T009060,532,9272,10%,42
T009085,532,6558,10%,42
T009106,76,1088,10%,42
T009109,76,6433,10%,42
T009112,76,4874,10%,42
T009129,76,901,10%,42
T009162,612,4888,10%,42
T009168,612,6334,10%,42
T009180,612,9512,10%,42
T009186,612,6374,10%,42
T009189,612,2881,10%,42
T009197,612,5419,10%,42
T009206,3982,3572,10%,42
T009208,3982,2505,10%,42
T009217,3982,509,10%,42
T009220,3982,231,10%,42
T009262,1668,9849,10%,42
T009283,1668,2493,10%,42
T009287,1668,998,10%,42
T009318,2420,529,10%,42
T009321,2420,5368,10%,42
T009334,2420,3524,10%,42
T009346,2420,1126,10%,42
T009350,244,3090,10%,42
T009400,1197,8732,10%,42
T009402,1197,2166,10%,42
T009415,1197,2581,10%,42
T009419,1197,3366,10%,42
T009426,1197,4627,10%,42
T009427,1197,677,10%,42
T009430,1197,7724,10%,42
T009453,2374,3330,10%,42
T009464,2374,2434,10%,42
T009502,206,5004,10%,42
T009505,206,8236,10%,42
T009512,206,4364,10%,42
T009515,206,10101,10%,42
T009517,206,3366,10%,42
T009518,206,1196,10%,42
T009540,206,4506,10%,42
T009552,5326,7357,10%,42
T009555,5326,5744,10%,42
T009585,5326,7615,10%,42
T009592,5326,2964,10%,42
T009614,491,93,10%,42
T009653,1241,1931,10%,42
T009657,1241,544,10%,42
T009665,1241,2166,10%,42
T009671,1241,54,10%,42
T009674,1241,4693,10%,42
T009684,1241,5587,10%,42
T009685,1241,1954,10%,42
T009688,1241,5004,10%,42
T009707,5713,4312,10%,42
T009715,5713,3767,10%,42
