image_id,source_record_id,true_identity,image_path,low_quality_path,assigned_identity,quality_condition,noise_level,is_noisy
T000430,177481,2749,data/corrupted/100k_blur_15x15_s5/train/T000430.png,data/corrupted/100k_blur_15x15_s5/train/T000430.png,1265,LOW,10%,1
T000432,177500,2749,data/corrupted/100k_blur_15x15_s5/train/T000432.png,data/corrupted/100k_blur_15x15_s5/train/T000432.png,3693,LOW,10%,1
T000442,177355,2749,data/corrupted/100k_blur_15x15_s5/train/T000442.png,data/corrupted/100k_blur_15x15_s5/train/T000442.png,9164,LOW,10%,1
T000450,239511,4111,data/corrupted/100k_blur_15x15_s5/train/T000450.png,data/corrupted/100k_blur_15x15_s5/train/T000450.png,2941,LOW,10%,1
T000461,239499,4111,data/corrupted/100k_blur_15x15_s5/train/T000461.png,data/corrupted/100k_blur_15x15_s5/train/T000461.png,1375,LOW,10%,1
T000467,239184,4111,data/corrupted/100k_blur_15x15_s5/train/T000467.png,data/corrupted/100k_blur_15x15_s5/train/T000467.png,1876,LOW,10%,1
T000471,239754,4111,data/corrupted/100k_blur_15x15_s5/train/T000471.png,data/corrupted/100k_blur_15x15_s5/train/T000471.png,673,LOW,10%,1
T000473,239417,4111,data/corrupted/100k_blur_15x15_s5/train/T000473.png,data/corrupted/100k_blur_15x15_s5/train/T000473.png,6119,LOW,10%,1
T000475,239650,4111,data/corrupted/100k_blur_15x15_s5/train/T000475.png,data/corrupted/100k_blur_15x15_s5/train/T000475.png,6575,LOW,10%,1
T000494,239649,4111,data/corrupted/100k_blur_15x15_s5/train/T000494.png,data/corrupted/100k_blur_15x15_s5/train/T000494.png,889,LOW,10%,1
T000537,149045,2189,data/corrupted/100k_blur_15x15_s5/train/T000537.png,data/corrupted/100k_blur_15x15_s5/train/T000537.png,1673,LOW,10%,1
T000539,149127,2189,data/corrupted/100k_blur_15x15_s5/train/T000539.png,data/corrupted/100k_blur_15x15_s5/train/T000539.png,2108,LOW,10%,1
T000545,149157,2189,data/corrupted/100k_blur_15x15_s5/train/T000545.png,data/corrupted/100k_blur_15x15_s5/train/T000545.png,264,LOW,10%,1
T000549,149024,2189,data/corrupted/100k_blur_15x15_s5/train/T000549.png,data/corrupted/100k_blur_15x15_s5/train/T000549.png,6787,LOW,10%,1
T000555,293848,5287,data/corrupted/100k_blur_15x15_s5/train/T000555.png,data/corrupted/100k_blur_15x15_s5/train/T000555.png,4808,LOW,10%,1
T000582,293776,5287,data/corrupted/100k_blur_15x15_s5/train/T000582.png,data/corrupted/100k_blur_15x15_s5/train/T000582.png,3055,LOW,10%,1
T000585,293840,5287,data/corrupted/100k_blur_15x15_s5/train/T000585.png,data/corrupted/100k_blur_15x15_s5/train/T000585.png,5725,LOW,10%,1
T000587,293981,5287,data/corrupted/100k_blur_15x15_s5/train/T000587.png,data/corrupted/100k_blur_15x15_s5/train/T000587.png,5889,LOW,10%,1
T000595,293996,5287,data/corrupted/100k_blur_15x15_s5/train/T000595.png,data/corrupted/100k_blur_15x15_s5/train/T000595.png,7037,LOW,10%,1
T000603,344185,6374,data/corrupted/100k_blur_15x15_s5/train/T000603.png,data/corrupted/100k_blur_15x15_s5/train/T000603.png,8416,LOW,10%,1
T000612,344177,6374,data/corrupted/100k_blur_15x15_s5/train/T000612.png,data/corrupted/100k_blur_15x15_s5/train/T000612.png,6599,LOW,10%,1
T000647,344395,6374,data/corrupted/100k_blur_15x15_s5/train/T000647.png,data/corrupted/100k_blur_15x15_s5/train/T000647.png,891,LOW,10%,1
T000650,265855,4670,data/corrupted/100k_blur_15x15_s5/train/T000650.png,data/corrupted/100k_blur_15x15_s5/train/T000650.png,2815,LOW,10%,1
T000653,265739,4670,data/corrupted/100k_blur_15x15_s5/train/T000653.png,data/corrupted/100k_blur_15x15_s5/train/T000653.png,3871,LOW,10%,1
T000660,265568,4670,data/corrupted/100k_blur_15x15_s5/train/T000660.png,data/corrupted/100k_blur_15x15_s5/train/T000660.png,513,LOW,10%,1
T000719,8041,41,data/corrupted/100k_blur_15x15_s5/train/T000719.png,data/corrupted/100k_blur_15x15_s5/train/T000719.png,1087,LOW,10%,1
T000722,7781,41,data/corrupted/100k_blur_15x15_s5/train/T000722.png,data/corrupted/100k_blur_15x15_s5/train/T000722.png,7115,LOW,10%,1
T000737,7968,41,data/corrupted/100k_blur_15x15_s5/train/T000737.png,data/corrupted/100k_blur_15x15_s5/train/T000737.png,2346,LOW,10%,1
T000744,7826,41,data/corrupted/100k_blur_15x15_s5/train/T000744.png,data/corrupted/100k_blur_15x15_s5/train/T000744.png,1079,LOW,10%,1
T000753,117323,1542,data/corrupted/100k_blur_15x15_s5/train/T000753.png,data/corrupted/100k_blur_15x15_s5/train/T000753.png,975,LOW,10%,1
T000754,117723,1542,data/corrupted/100k_blur_15x15_s5/train/T000754.png,data/corrupted/100k_blur_15x15_s5/train/T000754.png,2188,LOW,10%,1
T000761,117331,1542,data/corrupted/100k_blur_15x15_s5/train/T000761.png,data/corrupted/100k_blur_15x15_s5/train/T000761.png,71,LOW,10%,1
T000785,117627,1542,data/corrupted/100k_blur_15x15_s5/train/T000785.png,data/corrupted/100k_blur_15x15_s5/train/T000785.png,4622,LOW,10%,1
T000789,117695,1542,data/corrupted/100k_blur_15x15_s5/train/T000789.png,data/corrupted/100k_blur_15x15_s5/train/T000789.png,76,LOW,10%,1
T000816,330034,6090,data/corrupted/100k_blur_15x15_s5/train/T000816.png,data/corrupted/100k_blur_15x15_s5/train/T000816.png,4364,LOW,10%,1
T000822,330445,6090,data/corrupted/100k_blur_15x15_s5/train/T000822.png,data/corrupted/100k_blur_15x15_s5/train/T000822.png,2639,LOW,10%,1
T000852,278726,4968,data/corrupted/100k_blur_15x15_s5/train/T000852.png,data/corrupted/100k_blur_15x15_s5/train/T000852.png,893,LOW,10%,1
T000857,278391,4968,data/corrupted/100k_blur_15x15_s5/train/T000857.png,data/corrupted/100k_blur_15x15_s5/train/T000857.png,9836,LOW,10%,1
T000865,278741,4968,data/corrupted/100k_blur_15x15_s5/train/T000865.png,data/corrupted/100k_blur_15x15_s5/train/T000865.png,2965,LOW,10%,1
T000869,278550,4968,data/corrupted/100k_blur_15x15_s5/train/T000869.png,data/corrupted/100k_blur_15x15_s5/train/T000869.png,4151,LOW,10%,1
T000875,278498,4968,data/corrupted/100k_blur_15x15_s5/train/T000875.png,data/corrupted/100k_blur_15x15_s5/train/T000875.png,7392,LOW,10%,1
T000877,278667,4968,data/corrupted/100k_blur_15x15_s5/train/T000877.png,data/corrupted/100k_blur_15x15_s5/train/T000877.png,3870,LOW,10%,1
T000884,278335,4968,data/corrupted/100k_blur_15x15_s5/train/T000884.png,data/corrupted/100k_blur_15x15_s5/train/T000884.png,377,LOW,10%,1
T000890,278640,4968,data/corrupted/100k_blur_15x15_s5/train/T000890.png,data/corrupted/100k_blur_15x15_s5/train/T000890.png,185,LOW,10%,1
T000903,6736,37,data/corrupted/100k_blur_15x15_s5/train/T000903.png,data/corrupted/100k_blur_15x15_s5/train/T000903.png,1959,LOW,10%,1
T000906,6584,37,data/corrupted/100k_blur_15x15_s5/train/T000906.png,data/corrupted/100k_blur_15x15_s5/train/T000906.png,199,LOW,10%,1
T000907,7057,37,data/corrupted/100k_blur_15x15_s5/train/T000907.png,data/corrupted/100k_blur_15x15_s5/train/T000907.png,3114,LOW,10%,1
T000970,336429,6224,data/corrupted/100k_blur_15x15_s5/train/T000970.png,data/corrupted/100k_blur_15x15_s5/train/T000970.png,1935,LOW,10%,1
T000976,336168,6224,data/corrupted/100k_blur_15x15_s5/train/T000976.png,data/corrupted/100k_blur_15x15_s5/train/T000976.png,333,LOW,10%,1
T000981,335984,6224,data/corrupted/100k_blur_15x15_s5/train/T000981.png,data/corrupted/100k_blur_15x15_s5/train/T000981.png,3330,LOW,10%,1
T000982,336381,6224,data/corrupted/100k_blur_15x15_s5/train/T000982.png,data/corrupted/100k_blur_15x15_s5/train/T000982.png,7981,LOW,10%,1
T000988,336299,6224,data/corrupted/100k_blur_15x15_s5/train/T000988.png,data/corrupted/100k_blur_15x15_s5/train/T000988.png,891,LOW,10%,1
T000996,336285,6224,data/corrupted/100k_blur_15x15_s5/train/T000996.png,data/corrupted/100k_blur_15x15_s5/train/T000996.png,4183,LOW,10%,1
T000999,335972,6224,data/corrupted/100k_blur_15x15_s5/train/T000999.png,data/corrupted/100k_blur_15x15_s5/train/T000999.png,9997,LOW,10%,1
T001002,79064,956,data/corrupted/100k_blur_15x15_s5/train/T001002.png,data/corrupted/100k_blur_15x15_s5/train/T001002.png,1115,LOW,10%,1
T001011,78929,956,data/corrupted/100k_blur_15x15_s5/train/T001011.png,data/corrupted/100k_blur_15x15_s5/train/T001011.png,8613,LOW,10%,1
T001019,79169,956,data/corrupted/100k_blur_15x15_s5/train/T001019.png,data/corrupted/100k_blur_15x15_s5/train/T001019.png,2034,LOW,10%,1
T001021,78983,956,data/corrupted/100k_blur_15x15_s5/train/T001021.png,data/corrupted/100k_blur_15x15_s5/train/T001021.png,1815,LOW,10%,1
T001031,79423,956,data/corrupted/100k_blur_15x15_s5/train/T001031.png,data/corrupted/100k_blur_15x15_s5/train/T001031.png,605,LOW,10%,1
T001040,79211,956,data/corrupted/100k_blur_15x15_s5/train/T001040.png,data/corrupted/100k_blur_15x15_s5/train/T001040.png,3165,LOW,10%,1
T001051,341404,6332,data/corrupted/100k_blur_15x15_s5/train/T001051.png,data/corrupted/100k_blur_15x15_s5/train/T001051.png,738,LOW,10%,1
T001053,341264,6332,data/corrupted/100k_blur_15x15_s5/train/T001053.png,data/corrupted/100k_blur_15x15_s5/train/T001053.png,2100,LOW,10%,1
T001071,341601,6332,data/corrupted/100k_blur_15x15_s5/train/T001071.png,data/corrupted/100k_blur_15x15_s5/train/T001071.png,2331,LOW,10%,1
T001076,341599,6332,data/corrupted/100k_blur_15x15_s5/train/T001076.png,data/corrupted/100k_blur_15x15_s5/train/T001076.png,4204,LOW,10%,1
T001077,341333,6332,data/corrupted/100k_blur_15x15_s5/train/T001077.png,data/corrupted/100k_blur_15x15_s5/train/T001077.png,2804,LOW,10%,1
T001095,341245,6332,data/corrupted/100k_blur_15x15_s5/train/T001095.png,data/corrupted/100k_blur_15x15_s5/train/T001095.png,1098,LOW,10%,1
T001106,107198,1317,data/corrupted/100k_blur_15x15_s5/train/T001106.png,data/corrupted/100k_blur_15x15_s5/train/T001106.png,2264,LOW,10%,1
T001107,106822,1317,data/corrupted/100k_blur_15x15_s5/train/T001107.png,data/corrupted/100k_blur_15x15_s5/train/T001107.png,4292,LOW,10%,1
T001110,107090,1317,data/corrupted/100k_blur_15x15_s5/train/T001110.png,data/corrupted/100k_blur_15x15_s5/train/T001110.png,8067,LOW,10%,1
T001126,107039,1317,data/corrupted/100k_blur_15x15_s5/train/T001126.png,data/corrupted/100k_blur_15x15_s5/train/T001126.png,987,LOW,10%,1
T001129,106996,1317,data/corrupted/100k_blur_15x15_s5/train/T001129.png,data/corrupted/100k_blur_15x15_s5/train/T001129.png,9617,LOW,10%,1
T001131,107040,1317,data/corrupted/100k_blur_15x15_s5/train/T001131.png,data/corrupted/100k_blur_15x15_s5/train/T001131.png,5834,LOW,10%,1
T001138,106963,1317,data/corrupted/100k_blur_15x15_s5/train/T001138.png,data/corrupted/100k_blur_15x15_s5/train/T001138.png,6838,LOW,10%,1
T001147,106964,1317,data/corrupted/100k_blur_15x15_s5/train/T001147.png,data/corrupted/100k_blur_15x15_s5/train/T001147.png,136,LOW,10%,1
T001148,106913,1317,data/corrupted/100k_blur_15x15_s5/train/T001148.png,data/corrupted/100k_blur_15x15_s5/train/T001148.png,10314,LOW,10%,1
T001151,60130,658,data/corrupted/100k_blur_15x15_s5/train/T001151.png,data/corrupted/100k_blur_15x15_s5/train/T001151.png,7115,LOW,10%,1
T001171,60303,658,data/corrupted/100k_blur_15x15_s5/train/T001171.png,data/corrupted/100k_blur_15x15_s5/train/T001171.png,32,LOW,10%,1
T001243,105831,1299,data/corrupted/100k_blur_15x15_s5/train/T001243.png,data/corrupted/100k_blur_15x15_s5/train/T001243.png,6573,LOW,10%,1
T001248,105811,1299,data/corrupted/100k_blur_15x15_s5/train/T001248.png,data/corrupted/100k_blur_15x15_s5/train/T001248.png,79,LOW,10%,1
T001249,105815,1299,data/corrupted/100k_blur_15x15_s5/train/T001249.png,data/corrupted/100k_blur_15x15_s5/train/T001249.png,5846,LOW,10%,1
T001257,102461,1245,data/corrupted/100k_blur_15x15_s5/train/T001257.png,data/corrupted/100k_blur_15x15_s5/train/T001257.png,4621,LOW,10%,1
T001266,102366,1245,data/corrupted/100k_blur_15x15_s5/train/T001266.png,data/corrupted/100k_blur_15x15_s5/train/T001266.png,4048,LOW,10%,1
T001272,102708,1245,data/corrupted/100k_blur_15x15_s5/train/T001272.png,data/corrupted/100k_blur_15x15_s5/train/T001272.png,5839,LOW,10%,1
T001307,138770,1994,data/corrupted/100k_blur_15x15_s5/train/T001307.png,data/corrupted/100k_blur_15x15_s5/train/T001307.png,995,LOW,10%,1
T001330,138586,1994,data/corrupted/100k_blur_15x15_s5/train/T001330.png,data/corrupted/100k_blur_15x15_s5/train/T001330.png,651,LOW,10%,1
T001338,138380,1994,data/corrupted/100k_blur_15x15_s5/train/T001338.png,data/corrupted/100k_blur_15x15_s5/train/T001338.png,7018,LOW,10%,1
T001343,138725,1994,data/corrupted/100k_blur_15x15_s5/train/T001343.png,data/corrupted/100k_blur_15x15_s5/train/T001343.png,4088,LOW,10%,1
T001350,31105,256,data/corrupted/100k_blur_15x15_s5/train/T001350.png,data/corrupted/100k_blur_15x15_s5/train/T001350.png,7940,LOW,10%,1
T001353,30737,256,data/corrupted/100k_blur_15x15_s5/train/T001353.png,data/corrupted/100k_blur_15x15_s5/train/T001353.png,10281,LOW,10%,1
T001355,30993,256,data/corrupted/100k_blur_15x15_s5/train/T001355.png,data/corrupted/100k_blur_15x15_s5/train/T001355.png,5067,LOW,10%,1
T001361,30927,256,data/corrupted/100k_blur_15x15_s5/train/T001361.png,data/corrupted/100k_blur_15x15_s5/train/T001361.png,3749,LOW,10%,1
T001364,31128,256,data/corrupted/100k_blur_15x15_s5/train/T001364.png,data/corrupted/100k_blur_15x15_s5/train/T001364.png,1286,LOW,10%,1
T001381,31059,256,data/corrupted/100k_blur_15x15_s5/train/T001381.png,data/corrupted/100k_blur_15x15_s5/train/T001381.png,462,LOW,10%,1
T001403,254031,4401,data/corrupted/100k_blur_15x15_s5/train/T001403.png,data/corrupted/100k_blur_15x15_s5/train/T001403.png,4312,LOW,10%,1
T001408,254358,4401,data/corrupted/100k_blur_15x15_s5/train/T001408.png,data/corrupted/100k_blur_15x15_s5/train/T001408.png,4603,LOW,10%,1
T001431,253969,4401,data/corrupted/100k_blur_15x15_s5/train/T001431.png,data/corrupted/100k_blur_15x15_s5/train/T001431.png,2806,LOW,10%,1
T001434,254295,4401,data/corrupted/100k_blur_15x15_s5/train/T001434.png,data/corrupted/100k_blur_15x15_s5/train/T001434.png,2433,LOW,10%,1
T001438,254404,4401,data/corrupted/100k_blur_15x15_s5/train/T001438.png,data/corrupted/100k_blur_15x15_s5/train/T001438.png,8791,LOW,10%,1
T001449,254376,4401,data/corrupted/100k_blur_15x15_s5/train/T001449.png,data/corrupted/100k_blur_15x15_s5/train/T001449.png,5377,LOW,10%,1
T001457,3910,23,data/corrupted/100k_blur_15x15_s5/train/T001457.png,data/corrupted/100k_blur_15x15_s5/train/T001457.png,9987,LOW,10%,1
T001458,3753,23,data/corrupted/100k_blur_15x15_s5/train/T001458.png,data/corrupted/100k_blur_15x15_s5/train/T001458.png,193,LOW,10%,1
T001485,3976,23,data/corrupted/100k_blur_15x15_s5/train/T001485.png,data/corrupted/100k_blur_15x15_s5/train/T001485.png,966,LOW,10%,1
T001489,3729,23,data/corrupted/100k_blur_15x15_s5/train/T001489.png,data/corrupted/100k_blur_15x15_s5/train/T001489.png,5067,LOW,10%,1
T001491,3871,23,data/corrupted/100k_blur_15x15_s5/train/T001491.png,data/corrupted/100k_blur_15x15_s5/train/T001491.png,5322,LOW,10%,1
T001506,23921,194,data/corrupted/100k_blur_15x15_s5/train/T001506.png,data/corrupted/100k_blur_15x15_s5/train/T001506.png,2027,LOW,10%,1
T001513,23886,194,data/corrupted/100k_blur_15x15_s5/train/T001513.png,data/corrupted/100k_blur_15x15_s5/train/T001513.png,605,LOW,10%,1
T001515,23982,194,data/corrupted/100k_blur_15x15_s5/train/T001515.png,data/corrupted/100k_blur_15x15_s5/train/T001515.png,3895,LOW,10%,1
T001525,23700,194,data/corrupted/100k_blur_15x15_s5/train/T001525.png,data/corrupted/100k_blur_15x15_s5/train/T001525.png,5503,LOW,10%,1
T001530,23845,194,data/corrupted/100k_blur_15x15_s5/train/T001530.png,data/corrupted/100k_blur_15x15_s5/train/T001530.png,5657,LOW,10%,1
T001533,23962,194,data/corrupted/100k_blur_15x15_s5/train/T001533.png,data/corrupted/100k_blur_15x15_s5/train/T001533.png,8861,LOW,10%,1
T001538,24120,194,data/corrupted/100k_blur_15x15_s5/train/T001538.png,data/corrupted/100k_blur_15x15_s5/train/T001538.png,1317,LOW,10%,1
T001552,131143,1822,data/corrupted/100k_blur_15x15_s5/train/T001552.png,data/corrupted/100k_blur_15x15_s5/train/T001552.png,1004,LOW,10%,1
T001556,131373,1822,data/corrupted/100k_blur_15x15_s5/train/T001556.png,data/corrupted/100k_blur_15x15_s5/train/T001556.png,10535,LOW,10%,1
T001559,131282,1822,data/corrupted/100k_blur_15x15_s5/train/T001559.png,data/corrupted/100k_blur_15x15_s5/train/T001559.png,1468,LOW,10%,1
T001570,130961,1822,data/corrupted/100k_blur_15x15_s5/train/T001570.png,data/corrupted/100k_blur_15x15_s5/train/T001570.png,9936,LOW,10%,1
T001593,131166,1822,data/corrupted/100k_blur_15x15_s5/train/T001593.png,data/corrupted/100k_blur_15x15_s5/train/T001593.png,3676,LOW,10%,1
T001594,131322,1822,data/corrupted/100k_blur_15x15_s5/train/T001594.png,data/corrupted/100k_blur_15x15_s5/train/T001594.png,8146,LOW,10%,1
T001595,131353,1822,data/corrupted/100k_blur_15x15_s5/train/T001595.png,data/corrupted/100k_blur_15x15_s5/train/T001595.png,764,LOW,10%,1
T001612,233796,3989,data/corrupted/100k_blur_15x15_s5/train/T001612.png,data/corrupted/100k_blur_15x15_s5/train/T001612.png,9524,LOW,10%,1
T001643,233604,3989,data/corrupted/100k_blur_15x15_s5/train/T001643.png,data/corrupted/100k_blur_15x15_s5/train/T001643.png,6777,LOW,10%,1
T001669,100561,1226,data/corrupted/100k_blur_15x15_s5/train/T001669.png,data/corrupted/100k_blur_15x15_s5/train/T001669.png,1888,LOW,10%,1
T001685,100342,1226,data/corrupted/100k_blur_15x15_s5/train/T001685.png,data/corrupted/100k_blur_15x15_s5/train/T001685.png,6094,LOW,10%,1
T001686,100732,1226,data/corrupted/100k_blur_15x15_s5/train/T001686.png,data/corrupted/100k_blur_15x15_s5/train/T001686.png,9118,LOW,10%,1
T001692,100506,1226,data/corrupted/100k_blur_15x15_s5/train/T001692.png,data/corrupted/100k_blur_15x15_s5/train/T001692.png,771,LOW,10%,1
T001703,49290,513,data/corrupted/100k_blur_15x15_s5/train/T001703.png,data/corrupted/100k_blur_15x15_s5/train/T001703.png,6271,LOW,10%,1
T001708,49421,513,data/corrupted/100k_blur_15x15_s5/train/T001708.png,data/corrupted/100k_blur_15x15_s5/train/T001708.png,1933,LOW,10%,1
T001712,49270,513,data/corrupted/100k_blur_15x15_s5/train/T001712.png,data/corrupted/100k_blur_15x15_s5/train/T001712.png,3007,LOW,10%,1
T001716,49472,513,data/corrupted/100k_blur_15x15_s5/train/T001716.png,data/corrupted/100k_blur_15x15_s5/train/T001716.png,6675,LOW,10%,1
T001720,49253,513,data/corrupted/100k_blur_15x15_s5/train/T001720.png,data/corrupted/100k_blur_15x15_s5/train/T001720.png,18,LOW,10%,1
T001723,49653,513,data/corrupted/100k_blur_15x15_s5/train/T001723.png,data/corrupted/100k_blur_15x15_s5/train/T001723.png,9544,LOW,10%,1
T001731,49276,513,data/corrupted/100k_blur_15x15_s5/train/T001731.png,data/corrupted/100k_blur_15x15_s5/train/T001731.png,497,LOW,10%,1
T001749,49345,513,data/corrupted/100k_blur_15x15_s5/train/T001749.png,data/corrupted/100k_blur_15x15_s5/train/T001749.png,2227,LOW,10%,1
T001771,409182,8071,data/corrupted/100k_blur_15x15_s5/train/T001771.png,data/corrupted/100k_blur_15x15_s5/train/T001771.png,1266,LOW,10%,1
T001775,409504,8071,data/corrupted/100k_blur_15x15_s5/train/T001775.png,data/corrupted/100k_blur_15x15_s5/train/T001775.png,2715,LOW,10%,1
T001782,409285,8071,data/corrupted/100k_blur_15x15_s5/train/T001782.png,data/corrupted/100k_blur_15x15_s5/train/T001782.png,83,LOW,10%,1
T001788,409157,8071,data/corrupted/100k_blur_15x15_s5/train/T001788.png,data/corrupted/100k_blur_15x15_s5/train/T001788.png,5153,LOW,10%,1
T001802,161074,2439,data/corrupted/100k_blur_15x15_s5/train/T001802.png,data/corrupted/100k_blur_15x15_s5/train/T001802.png,8739,LOW,10%,1
T001808,160853,2439,data/corrupted/100k_blur_15x15_s5/train/T001808.png,data/corrupted/100k_blur_15x15_s5/train/T001808.png,944,LOW,10%,1
T001843,161121,2439,data/corrupted/100k_blur_15x15_s5/train/T001843.png,data/corrupted/100k_blur_15x15_s5/train/T001843.png,4982,LOW,10%,1
T001847,161026,2439,data/corrupted/100k_blur_15x15_s5/train/T001847.png,data/corrupted/100k_blur_15x15_s5/train/T001847.png,9292,LOW,10%,1
T001855,257993,4478,data/corrupted/100k_blur_15x15_s5/train/T001855.png,data/corrupted/100k_blur_15x15_s5/train/T001855.png,8658,LOW,10%,1
