image_id,record_index,casia_identity,class_index,assigned_class_index,noise_status,noise_seed
1483,1484,10,7,7,clean,42
1458,1459,10,7,61,noisy,42
1457,1458,10,7,7,clean,42
1452,1453,10,7,7,clean,42
1435,1436,10,7,7,clean,42
1493,1494,10,7,7,clean,42
1423,1424,10,7,7,clean,42
1413,1414,10,7,70,noisy,42
1431,1432,10,7,7,clean,42
1443,1444,10,7,7,clean,42
1486,1487,10,7,7,clean,42
1446,1447,10,7,47,noisy,42
1503,1504,10,7,7,clean,42
1417,1418,10,7,7,clean,42
1489,1490,10,7,73,noisy,42
1490,1491,10,7,7,clean,42
1425,1426,10,7,7,clean,42
1444,1445,10,7,7,clean,42
1468,1469,10,7,7,clean,42
1501,1502,10,7,7,clean,42
1439,1440,10,7,77,noisy,42
1455,1456,10,7,7,clean,42
1482,1483,10,7,7,clean,42
1665,1666,12,8,8,clean,42
1553,1554,12,8,8,clean,42
1615,1616,12,8,8,clean,42
1630,1631,12,8,8,clean,42
1590,1591,12,8,8,clean,42
1546,1547,12,8,8,clean,42
1632,1633,12,8,8,clean,42
1599,1600,12,8,8,clean,42
1600,1601,12,8,8,clean,42
1552,1553,12,8,2,noisy,42
1585,1586,12,8,8,clean,42
1611,1612,12,8,8,clean,42
1627,1628,12,8,8,clean,42
1649,1650,12,8,56,noisy,42
1664,1665,12,8,8,clean,42
1598,1599,12,8,0,noisy,42
1561,1562,12,8,8,clean,42
1603,1604,12,8,9,noisy,42
1658,1659,12,8,32,noisy,42
1607,1608,12,8,8,clean,42
1545,1546,12,8,8,clean,42
1652,1653,12,8,8,clean,42
1643,1644,12,8,8,clean,42
1646,1647,12,8,8,clean,42
1589,1590,12,8,8,clean,42
1698,1699,13,9,9,clean,42
1676,1677,13,9,9,clean,42
1725,1726,13,9,9,clean,42
1680,1681,13,9,9,clean,42
1730,1731,13,9,9,clean,42
1694,1695,13,9,9,clean,42
1686,1687,13,9,61,noisy,42
1709,1710,13,9,9,clean,42
1721,1722,13,9,9,clean,42
1688,1689,13,9,82,noisy,42
1707,1708,13,9,9,clean,42
1685,1686,13,9,9,clean,42
1743,1744,13,9,59,noisy,42
1681,1682,13,9,9,clean,42
1738,1739,13,9,37,noisy,42
1706,1707,13,9,22,noisy,42
1734,1735,13,9,9,clean,42
1711,1712,13,9,9,clean,42
1733,1734,13,9,9,clean,42
1723,1724,13,9,9,clean,42
1692,1693,13,9,9,clean,42
1710,1711,13,9,9,clean,42
1718,1719,13,9,9,clean,42
1704,1705,13,9,9,clean,42
1683,1684,13,9,9,clean,42
2031,2032,14,10,10,clean,42
2027,2028,14,10,10,clean,42
1779,1780,14,10,10,clean,42
1957,1958,14,10,29,noisy,42
1839,1840,14,10,15,noisy,42
1830,1831,14,10,10,clean,42
2137,2138,14,10,10,clean,42
1840,1841,14,10,10,clean,42
1971,1972,14,10,10,clean,42
1872,1873,14,10,10,clean,42
1755,1756,14,10,10,clean,42
2108,2109,14,10,65,noisy,42
1802,1803,14,10,32,noisy,42
1818,1819,14,10,10,clean,42
1878,1879,14,10,10,clean,42
1788,1789,14,10,10,clean,42
2001,2002,14,10,10,clean,42
2023,2024,14,10,10,clean,42
1978,1979,14,10,10,clean,42
1954,1955,14,10,10,clean,42
1823,1824,14,10,10,clean,42
1761,1762,14,10,10,clean,42
2139,2140,14,10,10,clean,42
2095,2096,14,10,56,noisy,42
1746,1747,14,10,10,clean,42
2253,2254,16,11,11,clean,42
2223,2224,16,11,11,clean,42
2240,2241,16,11,11,clean,42
2215,2216,16,11,11,clean,42
2214,2215,16,11,11,clean,42
2209,2210,16,11,11,clean,42
2192,2193,16,11,11,clean,42
2250,2251,16,11,71,noisy,42
2180,2181,16,11,11,clean,42
2170,2171,16,11,11,clean,42
2188,2189,16,11,11,clean,42
2200,2201,16,11,11,clean,42
2243,2244,16,11,11,clean,42
2203,2204,16,11,42,noisy,42
2260,2261,16,11,11,clean,42
2174,2175,16,11,11,clean,42
2246,2247,16,11,11,clean,42
2247,2248,16,11,60,noisy,42
2182,2183,16,11,38,noisy,42
2201,2202,16,11,11,clean,42
2225,2226,16,11,63,noisy,42
2258,2259,16,11,11,clean,42
2196,2197,16,11,11,clean,42
2212,2213,16,11,11,clean,42
2239,2240,16,11,11,clean,42
2287,2288,17,12,12,clean,42
2283,2284,17,12,12,clean,42
2274,2275,17,12,12,clean,42
2299,2300,17,12,12,clean,42
2305,2306,17,12,12,clean,42
2295,2296,17,12,12,clean,42
2276,2277,17,12,50,noisy,42
2296,2297,17,12,12,clean,42
2294,2295,17,12,12,clean,42
2286,2287,17,12,12,clean,42
2278,2279,17,12,12,clean,42
2285,2286,17,12,38,noisy,42
2282,2283,17,12,17,noisy,42
2302,2303,17,12,12,clean,42
2279,2280,17,12,19,noisy,42
2289,2290,17,12,12,clean,42
2270,2271,17,12,12,clean,42
2301,2302,17,12,12,clean,42
2275,2276,17,12,12,clean,42
2281,2282,17,12,12,clean,42
2271,2272,17,12,12,clean,42
2297,2298,17,12,12,clean,42
2291,2292,17,12,81,noisy,42
2272,2273,17,12,12,clean,42
2306,2307,17,12,12,clean,42
2377,2378,18,13,13,clean,42
2525,2526,18,13,13,clean,42
2565,2566,18,13,13,clean,42
2340,2341,18,13,13,clean,42
2349,2350,18,13,13,clean,42
2384,2385,18,13,13,clean,42
2444,2445,18,13,13,clean,42
2640,2641,18,13,13,clean,42
2552,2553,18,13,13,clean,42
2573,2574,18,13,60,noisy,42
2673,2674,18,13,13,clean,42
2385,2386,18,13,13,clean,42
2591,2592,18,13,13,clean,42
2695,2696,18,13,13,clean,42
2462,2463,18,13,62,noisy,42
2491,2492,18,13,13,clean,42
2484,2485,18,13,13,clean,42
2538,2539,18,13,13,clean,42
2316,2317,18,13,13,clean,42
2502,2503,18,13,53,noisy,42
2362,2363,18,13,13,clean,42
2708,2709,18,13,29,noisy,42
2592,2593,18,13,45,noisy,42
2541,2542,18,13,13,clean,42
2587,2588,18,13,13,clean,42
2797,2798,19,14,14,clean,42
2799,2800,19,14,33,noisy,42
2810,2811,19,14,14,clean,42
2828,2829,19,14,14,clean,42
2742,2743,19,14,14,clean,42
2827,2828,19,14,14,clean,42
2791,2792,19,14,14,clean,42
2794,2795,19,14,14,clean,42
2731,2732,19,14,14,clean,42
2728,2729,19,14,12,noisy,42
2732,2733,19,14,14,clean,42
2725,2726,19,14,14,clean,42
2722,2723,19,14,6,noisy,42
2755,2756,19,14,14,clean,42
2764,2765,19,14,19,noisy,42
2782,2783,19,14,14,clean,42
2822,2823,19,14,14,clean,42
2849,2850,19,14,39,noisy,42
2778,2779,19,14,14,clean,42
2809,2810,19,14,14,clean,42
2788,2789,19,14,14,clean,42
2836,2837,19,14,14,clean,42
2744,2745,19,14,14,clean,42
2779,2780,19,14,14,clean,42
2768,2769,19,14,14,clean,42
2866,2867,20,15,15,clean,42
2871,2872,20,15,15,clean,42
2900,2901,20,15,15,clean,42
2879,2880,20,15,1,noisy,42
2910,2911,20,15,51,noisy,42
2918,2919,20,15,15,clean,42
2903,2904,20,15,15,clean,42
2891,2892,20,15,15,clean,42
2912,2913,20,15,15,clean,42
2878,2879,20,15,15,clean,42
2914,2915,20,15,15,clean,42
2869,2870,20,15,15,clean,42
2902,2903,20,15,55,noisy,42
2897,2898,20,15,15,clean,42
2874,2875,20,15,15,clean,42
2883,2884,20,15,67,noisy,42
2872,2873,20,15,15,clean,42
2870,2871,20,15,15,clean,42
2907,2908,20,15,15,clean,42
2885,2886,20,15,15,clean,42
2896,2897,20,15,66,noisy,42
2915,2916,20,15,15,clean,42
2916,2917,20,15,15,clean,42
2920,2921,20,15,15,clean,42
2881,2882,20,15,15,clean,42
3096,3097,21,16,16,clean,42
3061,3062,21,16,16,clean,42
3050,3051,21,16,16,clean,42
3018,3019,21,16,16,clean,42
2996,2997,21,16,65,noisy,42
2957,2958,21,16,16,clean,42
3303,3304,21,16,16,clean,42
3147,3148,21,16,16,clean,42
3265,3266,21,16,76,noisy,42
3151,3152,21,16,16,clean,42
3056,3057,21,16,16,clean,42
3146,3147,21,16,16,clean,42
3210,3211,21,16,16,clean,42
3255,3256,21,16,16,clean,42
3081,3082,21,16,16,clean,42
3014,3015,21,16,16,clean,42
3281,3282,21,16,33,noisy,42
3002,3003,21,16,16,clean,42
2933,2934,21,16,11,noisy,42
3001,3002,21,16,16,clean,42
3236,3237,21,16,16,clean,42
3162,3163,21,16,26,noisy,42
2954,2955,21,16,16,clean,42
2997,2998,21,16,16,clean,42
3127,3128,21,16,16,clean,42
3363,3364,22,17,17,clean,42
3449,3450,22,17,7,noisy,42
3412,3413,22,17,21,noisy,42
3460,3461,22,17,17,clean,42
3529,3530,22,17,17,clean,42
3470,3471,22,17,17,clean,42
3542,3543,22,17,17,clean,42
3378,3379,22,17,17,clean,42
3491,3492,22,17,17,clean,42
3580,3581,22,17,17,clean,42
3516,3517,22,17,17,clean,42
3602,3603,22,17,17,clean,42
3560,3561,22,17,17,clean,42
3415,3416,22,17,17,clean,42
3498,3499,22,17,17,clean,42
3527,3528,22,17,43,noisy,42
3559,3560,22,17,17,clean,42
3479,3480,22,17,17,clean,42
3437,3438,22,17,29,noisy,42
3393,3394,22,17,17,clean,42
3554,3555,22,17,34,noisy,42
3600,3601,22,17,17,clean,42
3379,3380,22,17,17,clean,42
3375,3376,22,17,17,clean,42
3518,3519,22,17,17,clean,42
3677,3678,23,18,18,clean,42
3849,3850,23,18,18,clean,42
4042,4043,23,18,2,noisy,42
3684,3685,23,18,27,noisy,42
4007,4008,23,18,18,clean,42
4083,4084,23,18,18,clean,42
3804,3805,23,18,18,clean,42
3668,3669,23,18,18,clean,42
3689,3690,23,18,18,clean,42
3912,3913,23,18,18,clean,42
3614,3615,23,18,18,clean,42
3673,3674,23,18,18,clean,42
4054,4055,23,18,46,noisy,42
3980,3981,23,18,18,clean,42
3877,3878,23,18,18,clean,42
3970,3971,23,18,9,noisy,42
4039,4040,23,18,18,clean,42
3635,3636,23,18,18,clean,42
3758,3759,23,18,18,clean,42
4047,4048,23,18,18,clean,42
3855,3856,23,18,18,clean,42
3830,3831,23,18,68,noisy,42
3698,3699,23,18,18,clean,42
3916,3917,23,18,18,clean,42
4046,4047,23,18,18,clean,42
4224,4225,24,19,19,clean,42
4240,4241,24,19,65,noisy,42
4185,4186,24,19,16,noisy,42
4272,4273,24,19,19,clean,42
4107,4108,24,19,19,clean,42
4207,4208,24,19,19,clean,42
4264,4265,24,19,19,clean,42
4301,4302,24,19,4,noisy,42
4167,4168,24,19,31,noisy,42
4234,4235,24,19,19,clean,42
4192,4193,24,19,14,noisy,42
4122,4123,24,19,19,clean,42
4282,4283,24,19,19,clean,42
4101,4102,24,19,19,clean,42
4159,4160,24,19,19,clean,42
4310,4311,24,19,19,clean,42
4267,4268,24,19,19,clean,42
4110,4111,24,19,19,clean,42
4289,4290,24,19,19,clean,42
4158,4159,24,19,19,clean,42
4281,4282,24,19,19,clean,42
4188,4189,24,19,19,clean,42
4302,4303,24,19,19,clean,42
4117,4118,24,19,19,clean,42
4219,4220,24,19,19,clean,42
4543,4544,25,20,20,clean,42
4422,4423,25,20,20,clean,42
4562,4563,25,20,20,clean,42
4321,4322,25,20,20,clean,42
4405,4406,25,20,20,clean,42
4532,4533,25,20,61,noisy,42
4587,4588,25,20,20,clean,42
4511,4512,25,20,20,clean,42
4516,4517,25,20,18,noisy,42
4413,4414,25,20,20,clean,42
4493,4494,25,20,62,noisy,42
4623,4624,25,20,20,clean,42
4631,4632,25,20,20,clean,42
4451,4452,25,20,20,clean,42
4578,4579,25,20,20,clean,42
4465,4466,25,20,3,noisy,42
4458,4459,25,20,43,noisy,42
4456,4457,25,20,20,clean,42
4337,4338,25,20,20,clean,42
4317,4318,25,20,20,clean,42
4394,4395,25,20,20,clean,42
4491,4492,25,20,20,clean,42
4358,4359,25,20,20,clean,42
4584,4585,25,20,20,clean,42
4406,4407,25,20,20,clean,42
4658,4659,26,21,21,clean,42
4681,4682,26,21,21,clean,42
4795,4796,26,21,21,clean,42
4750,4751,26,21,9,noisy,42
4787,4788,26,21,21,clean,42
4654,4655,26,21,68,noisy,42
4663,4664,26,21,21,clean,42
4707,4708,26,21,21,clean,42
4756,4757,26,21,25,noisy,42
4737,4738,26,21,21,clean,42
4736,4737,26,21,21,clean,42
4802,4803,26,21,21,clean,42
4708,4709,26,21,21,clean,42
4814,4815,26,21,21,clean,42
4684,4685,26,21,21,clean,42
4655,4656,26,21,21,clean,42
4690,4691,26,21,21,clean,42
4674,4675,26,21,45,noisy,42
4721,4722,26,21,21,clean,42
4695,4696,26,21,21,clean,42
4804,4805,26,21,21,clean,42
4763,4764,26,21,21,clean,42
4785,4786,26,21,42,noisy,42
4669,4670,26,21,21,clean,42
4648,4649,26,21,21,clean,42
4959,4960,27,22,22,clean,42
4939,4940,27,22,22,clean,42
4955,4956,27,22,22,clean,42
4879,4880,27,22,22,clean,42
4919,4920,27,22,22,clean,42
4853,4854,27,22,27,noisy,42
4980,4981,27,22,22,clean,42
4875,4876,27,22,22,clean,42
4925,4926,27,22,22,clean,42
4969,4970,27,22,22,clean,42
4843,4844,27,22,22,clean,42
4909,4910,27,22,22,clean,42
4839,4840,27,22,22,clean,42
4890,4891,27,22,22,clean,42
4848,4849,27,22,22,clean,42
4854,4855,27,22,22,clean,42
4956,4957,27,22,54,noisy,42
4929,4930,27,22,22,clean,42
4975,4976,27,22,22,clean,42
4840,4841,27,22,22,clean,42
4899,4900,27,22,41,noisy,42
4842,4843,27,22,22,clean,42
4836,4837,27,22,22,clean,42
4833,4834,27,22,39,noisy,42
4855,4856,27,22,31,noisy,42
5096,5097,29,23,23,clean,42
5093,5094,29,23,35,noisy,42
5089,5090,29,23,23,clean,42
5110,5111,29,23,23,clean,42
5049,5050,29,23,23,clean,42
5095,5096,29,23,23,clean,42
5085,5086,29,23,23,clean,42
5058,5059,29,23,23,clean,42
5016,5017,29,23,23,clean,42
5026,5027,29,23,21,noisy,42
5080,5081,29,23,27,noisy,42
5046,5047,29,23,23,clean,42
5034,5035,29,23,23,clean,42
5020,5021,29,23,23,clean,42
5047,5048,29,23,23,clean,42
5042,5043,29,23,23,clean,42
5028,5029,29,23,23,clean,42
5038,5039,29,23,23,clean,42
5069,5070,29,23,23,clean,42
5101,5102,29,23,23,clean,42
5056,5057,29,23,7,noisy,42
5083,5084,29,23,23,clean,42
5031,5032,29,23,23,clean,42
5084,5085,29,23,23,clean,42
5104,5105,29,23,58,noisy,42
5134,5135,30,24,82,noisy,42
5112,5113,30,24,24,clean,42
5159,5160,30,24,24,clean,42
5116,5117,30,24,24,clean,42
5165,5166,30,24,24,clean,42
5130,5131,30,24,24,clean,42
5122,5123,30,24,24,clean,42
5145,5146,30,24,51,noisy,42
5156,5157,30,24,24,clean,42
5124,5125,30,24,24,clean,42
5143,5144,30,24,24,clean,42
5121,5122,30,24,24,clean,42
5171,5172,30,24,24,clean,42
5117,5118,30,24,24,clean,42
5180,5181,30,24,24,clean,42
5142,5143,30,24,24,clean,42
5169,5170,30,24,25,noisy,42
5147,5148,30,24,40,noisy,42
5168,5169,30,24,24,clean,42
5158,5159,30,24,24,clean,42
5128,5129,30,24,24,clean,42
5146,5147,30,24,24,clean,42
5154,5155,30,24,52,noisy,42
5140,5141,30,24,24,clean,42
5119,5120,30,24,24,clean,42
5371,5372,31,25,32,noisy,42
5187,5188,31,25,25,clean,42
5260,5261,31,25,25,clean,42
5386,5387,31,25,70,noisy,42
5298,5299,31,25,76,noisy,42
5366,5367,31,25,25,clean,42
5382,5383,31,25,25,clean,42
5348,5349,31,25,25,clean,42
5190,5191,31,25,25,clean,42
5211,5212,31,25,25,clean,42
5361,5362,31,25,25,clean,42
5402,5403,31,25,25,clean,42
5410,5411,31,25,25,clean,42
5397,5398,31,25,25,clean,42
5317,5318,31,25,25,clean,42
5249,5250,31,25,25,clean,42
5379,5380,31,25,25,clean,42
5196,5197,31,25,25,clean,42
5277,5278,31,25,25,clean,42
5205,5206,31,25,25,clean,42
5415,5416,31,25,25,clean,42
5200,5201,31,25,77,noisy,42
5301,5302,31,25,17,noisy,42
5333,5334,31,25,25,clean,42
5214,5215,31,25,25,clean,42
5655,5656,32,26,26,clean,42
5502,5503,32,26,72,noisy,42
5445,5446,32,26,26,clean,42
5606,5607,32,26,26,clean,42
5451,5452,32,26,56,noisy,42
5637,5638,32,26,26,clean,42
5461,5462,32,26,26,clean,42
5633,5634,32,26,26,clean,42
5590,5591,32,26,26,clean,42
5562,5563,32,26,26,clean,42
5652,5653,32,26,26,clean,42
5455,5456,32,26,26,clean,42
5532,5533,32,26,26,clean,42
5614,5615,32,26,26,clean,42
5611,5612,32,26,82,noisy,42
5573,5574,32,26,26,clean,42
5582,5583,32,26,26,clean,42
5466,5467,32,26,26,clean,42
5663,5664,32,26,26,clean,42
5621,5622,32,26,26,clean,42
5544,5545,32,26,42,noisy,42
5598,5599,32,26,26,clean,42
5642,5643,32,26,26,clean,42
5617,5618,32,26,15,noisy,42
5561,5562,32,26,26,clean,42
5750,5751,33,27,27,clean,42
5683,5684,33,27,34,noisy,42
5779,5780,33,27,27,clean,42
5845,5846,33,27,27,clean,42
5744,5745,33,27,27,clean,42
5831,5832,33,27,27,clean,42
5736,5737,33,27,27,clean,42
5735,5736,33,27,27,clean,42
5788,5789,33,27,27,clean,42
5841,5842,33,27,27,clean,42
5844,5845,33,27,27,clean,42
5816,5817,33,27,27,clean,42
5733,5734,33,27,27,clean,42
5698,5699,33,27,27,clean,42
5754,5755,33,27,27,clean,42
5753,5754,33,27,27,clean,42
5723,5724,33,27,27,clean,42
5728,5729,33,27,57,noisy,42
5758,5759,33,27,24,noisy,42
5827,5828,33,27,27,clean,42
5684,5685,33,27,27,clean,42
5792,5793,33,27,10,noisy,42
5764,5765,33,27,27,clean,42
5840,5841,33,27,56,noisy,42
5734,5735,33,27,27,clean,42
5940,5941,34,28,28,clean,42
6147,6148,34,28,52,noisy,42
5892,5893,34,28,28,clean,42
6122,6123,34,28,28,clean,42
5876,5877,34,28,28,clean,42
5968,5969,34,28,28,clean,42
6043,6044,34,28,28,clean,42
6053,6054,34,28,28,clean,42
5930,5931,34,28,28,clean,42
5983,5984,34,28,28,clean,42
6106,6107,34,28,28,clean,42
5942,5943,34,28,28,clean,42
6031,6032,34,28,28,clean,42
6040,6041,34,28,28,clean,42
6077,6078,34,28,28,clean,42
5951,5952,34,28,28,clean,42
6052,6053,34,28,28,clean,42
5999,6000,34,28,28,clean,42
6179,6180,34,28,1,noisy,42
6112,6113,34,28,64,noisy,42
6069,6070,34,28,15,noisy,42
6044,6045,34,28,28,clean,42
6064,6065,34,28,28,clean,42
5975,5976,34,28,73,noisy,42
5909,5910,34,28,28,clean,42
6297,6298,35,29,29,clean,42
6348,6349,35,29,29,clean,42
6353,6354,35,29,29,clean,42
6285,6286,35,29,29,clean,42
6284,6285,35,29,29,clean,42
6199,6200,35,29,29,clean,42
6361,6362,35,29,29,clean,42
6219,6220,35,29,13,noisy,42
6303,6304,35,29,29,clean,42
6336,6337,35,29,51,noisy,42
6208,6209,35,29,29,clean,42
6260,6261,35,29,39,noisy,42
6340,6341,35,29,29,clean,42
6302,6303,35,29,29,clean,42
6252,6253,35,29,29,clean,42
6200,6201,35,29,29,clean,42
6306,6307,35,29,29,clean,42
6214,6215,35,29,29,clean,42
6320,6321,35,29,29,clean,42
6203,6204,35,29,48,noisy,42
6259,6260,35,29,29,clean,42
6299,6300,35,29,52,noisy,42
6310,6311,35,29,29,clean,42
6331,6332,35,29,29,clean,42
6253,6254,35,29,29,clean,42
6385,6386,36,30,30,clean,42
6379,6380,36,30,30,clean,42
6485,6486,36,30,30,clean,42
6448,6449,36,30,66,noisy,42
6436,6437,36,30,30,clean,42
6415,6416,36,30,30,clean,42
6502,6503,36,30,34,noisy,42
6531,6532,36,30,5,noisy,42
6571,6572,36,30,30,clean,42
6551,6552,36,30,30,clean,42
6439,6440,36,30,30,clean,42
6533,6534,36,30,30,clean,42
6537,6538,36,30,30,clean,42
6522,6523,36,30,30,clean,42
6426,6427,36,30,30,clean,42
6561,6562,36,30,54,noisy,42
6388,6389,36,30,30,clean,42
6449,6450,36,30,30,clean,42
6425,6426,36,30,30,clean,42
6516,6517,36,30,30,clean,42
6547,6548,36,30,30,clean,42
6467,6468,36,30,30,clean,42
6465,6466,36,30,30,clean,42
6400,6401,36,30,30,clean,42
6497,6498,36,30,11,noisy,42
7120,7121,37,31,31,clean,42
6655,6656,37,31,31,clean,42
6714,6715,37,31,31,clean,42
6653,6654,37,31,31,clean,42
6845,6846,37,31,31,clean,42
6803,6804,37,31,31,clean,42
7003,7004,37,31,60,noisy,42
6974,6975,37,31,5,noisy,42
6656,6657,37,31,31,clean,42
6879,6880,37,31,31,clean,42
6759,6760,37,31,81,noisy,42
6584,6585,37,31,31,clean,42
6657,6658,37,31,31,clean,42
6796,6797,37,31,54,noisy,42
6839,6840,37,31,31,clean,42
6658,6659,37,31,31,clean,42
7096,7097,37,31,31,clean,42
6580,6581,37,31,31,clean,42
6849,6850,37,31,31,clean,42
6982,6983,37,31,31,clean,42
7005,7006,37,31,31,clean,42
6729,6730,37,31,12,noisy,42
6705,6706,37,31,31,clean,42
6683,6684,37,31,31,clean,42
6647,6648,37,31,31,clean,42
7190,7191,38,32,32,clean,42
7239,7240,38,32,32,clean,42
7141,7142,38,32,32,clean,42
7266,7267,38,32,32,clean,42
7281,7282,38,32,32,clean,42
7251,7252,38,32,32,clean,42
7265,7266,38,32,32,clean,42
7155,7156,38,32,30,noisy,42
7143,7144,38,32,46,noisy,42
7292,7293,38,32,26,noisy,42
7283,7284,38,32,32,clean,42
7140,7141,38,32,32,clean,42
7180,7181,38,32,32,clean,42
7181,7182,38,32,32,clean,42
7240,7241,38,32,32,clean,42
7170,7171,38,32,32,clean,42
7249,7250,38,32,32,clean,42
7134,7135,38,32,32,clean,42
7272,7273,38,32,32,clean,42
7210,7211,38,32,1,noisy,42
7238,7239,38,32,53,noisy,42
7286,7287,38,32,32,clean,42
7185,7186,38,32,32,clean,42
7312,7313,38,32,32,clean,42
